pathway,pathway_label,database,NES_Training_CRE,NES_Training_PLA,padj_Training_CRE,padj_Training_PLA,significance,set_size
HALLMARK_INTERFERON_GAMMA_RESPONSE,Interferon Gamma Response,Hallmark,1.286,-1.639,0.3212,0.05897,NS,38
GOSLIM_CYTOKINESIS,Goslim Cytokinesis,GOSlim,1.508,-1.4,0.1114,0.1728,NS,45
HALLMARK_UV_RESPONSE_DN,UV Response Dn,Hallmark,1.348,-1.552,0.3156,0.1156,NS,26
HALLMARK_APOPTOSIS,Apoptosis,Hallmark,1.411,-1.406,0.2632,0.1468,NS,42
HALLMARK_BILE_ACID_METABOLISM,Bile Acid Metabolism,Hallmark,-1.129,-1.68,0.5814,0.06527,NS,25
HALLMARK_PROTEIN_SECRETION,Protein Secretion,Hallmark,1.512,-1.206,0.124,0.3186,NS,49
GOSLIM_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE,Goslim Protein Localization To Plasma Memb...,GOSlim,1.243,-1.401,0.2815,0.1172,NS,76
HALLMARK_KRAS_SIGNALING_UP,KRAS Signaling Up,Hallmark,1.416,-1.227,0.2742,0.3186,NS,24
HALLMARK_MYOGENESIS,Myogenesis,Hallmark,1.221,1.359,0.3156,0.12,NS,113
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,Reactive Oxygen Species Pathway,Hallmark,0.974,-1.517,0.731,0.12,NS,28
GOSLIM_CYTOPLASMIC_TRANSLATION,Goslim Cytoplasmic Translation,GOSlim,1.504,0.978,0.06985,0.79990000000000006,NS,116
GOSLIM_NUCLEOCYTOPLASMIC_TRANSPORT,Goslim Nucleocytoplasmic Transport,GOSlim,1.247,-1.198,0.2805,0.3509,NS,83
HALLMARK_PEROXISOME,Peroxisome,Hallmark,-1.343,-1.082,0.2742,0.4535,NS,44
GOSLIM_DIGESTION,Goslim Digestion,GOSlim,1.168,-1.244,0.4293,0.3876,NS,15
HALLMARK_IL6_JAK_STAT3_SIGNALING,IL6 Jak Stat3 Signaling,Hallmark,0.961,-1.318,0.731,0.309,NS,10
HALLMARK_ESTROGEN_RESPONSE_LATE,Estrogen Response Late,Hallmark,0.835,-1.414,0.8956,0.1468,NS,44
GOSLIM_AMINO_ACID_METABOLIC_PROCESS,Goslim Amino Acid Metabolic Process,GOSlim,-1.218,1.028,0.2805,0.6719,NS,117
HALLMARK_UV_RESPONSE_UP,UV Response Up,Hallmark,-0.985,1.255,0.731,0.309,NS,48
GOSLIM_KETONE_METABOLIC_PROCESS,Goslim Ketone Metabolic Process,GOSlim,-0.989,-1.226,0.6237,0.3509,NS,61
HALLMARK_HYPOXIA,Hypoxia,Hallmark,1.281,0.929,0.3156,0.7053,NS,59
HALLMARK_MYC_TARGETS_V2,MYC Targets V2,Hallmark,0.897,1.302,0.8019,0.309,NS,14
HALLMARK_GLYCOLYSIS,Glycolysis,Hallmark,0.736,-1.451,0.9702,0.0919,NS,75
HALLMARK_ANDROGEN_RESPONSE,Androgen Response,Hallmark,1.013,-1.15,0.7195,0.3783,NS,34
GOSLIM_MUSCLE_SYSTEM_PROCESS,Goslim Muscle System Process,GOSlim,-0.982,1.175,0.6237,0.3509,NS,146
GOSLIM_RENAL_SYSTEM_PROCESS,Goslim Renal System Process,GOSlim,1.035,-1.107,0.6129,0.5527,NS,23
GOSLIM_TELOMERE_ORGANIZATION,Goslim Telomere Organization,GOSlim,1.447,0.692,0.1526,0.9972,NS,37
HALLMARK_ALLOGRAFT_REJECTION,Allograft Rejection,Hallmark,1.358,-0.779,0.2929,0.8778,NS,34
GOSLIM_PROTEIN_FOLDING,Goslim Protein Folding,GOSlim,1.404,0.712,0.1114,0.9972,NS,101
HALLMARK_PI3K_AKT_MTOR_SIGNALING,Pi3k Akt Mtor Signaling,Hallmark,1.18,0.933,0.4742,0.6934,NS,40
