"facet","timepoint","group_time","med","ci_lo","ci_hi","cv_max"
"Cancer Recovery","T1","CR_T1",38.8712231084815,38.174768714047,39.7805942477315,325.416784472077
"Cancer Recovery","T2","CR_T2",36.975846033915,35.9502258971864,37.5069675965613,271.395783475285
"Creatine","T1","CRE_T1",32.1311213449029,31.2578226645033,32.7124614748183,167.99934221904
"Creatine","T2","CRE_T2",38.1614314980354,37.1750645369678,39.1575028465043,236.102540983768
"Placebo","T1","PLA_T1",40.3658196965445,39.2896907811136,41.2567990956616,240.159734025631
"Placebo","T2","PLA_T2",28.2600306223098,27.4167527746044,29.2773561261012,212.939411021758
"Healthy","T1","H_T1",24.9505713627215,24.378598390621,25.5616346230397,147.417023890574
