"subject","supplement","median_lfc","mad_lfc","sd_lfc","iqr_lfc","q25","q75","n_proteins"
"CR72","CRE",-0.0155440808973628,0.769361328645566,0.881871058955767,1.05101258104485,-0.516622751839169,0.53438982920568,2582
"CR8","CRE",-0.0110420124712078,0.457082743541276,0.597196437286934,0.610996595437567,-0.32949570194816,0.281500893489407,2582
"CR163","CRE",0.000318380837464716,0.30753865984102,0.445982415055756,0.422340996772873,-0.22649502956979,0.195845967203083,2582
"CR22","CRE",0.00218547931166757,0.565480886495233,0.678463146092264,0.75818457444269,-0.391931469705906,0.366253104736784,2582
"CR12","CRE",0.016850233568741,0.456200955229382,0.578239858945504,0.619661101333353,-0.259149281898194,0.360511819435159,2582
"CR25","CRE",0.0218013198065492,0.447346513651909,0.729234975493043,0.603556536674312,-0.279404188245072,0.32415234842924,2582
"CR17","PLA",0,0.415815395329294,0.590512086516632,0.559183322518422,-0.277665507704663,0.28151781481376,2582
"CR6","PLA",0.000410518286543926,0.415087584627181,0.927085582156465,0.567981554658056,-0.255075602598544,0.312905952059512,2582
"CR149","PLA",0.00595232031041704,0.482223230539026,0.713513442900364,0.654433080701839,-0.328076033854224,0.326357046847614,2582
"CR18","PLA",0.0111549196088774,0.496207449290442,0.736542718674222,0.67112327594762,-0.326552805089793,0.344570470857827,2582
"CR7","PLA",0.161161411606928,1.04679479875418,1.30489898573683,1.38453402182276,-0.512131750601323,0.872402271221437,2582
