"comparison","p_raw","p_bh","cliffs_d"
"CR_T1 vs CR_T2",5.15526331508181e-05,5.15526331508181e-05,0.0654986709811626
"CRE_T1 vs CRE_T2",9.32241500417621e-34,1.39836225062643e-33,-0.197368926292807
"PLA_T1 vs PLA_T2",1.19663285679001e-67,3.58989857037002e-67,0.29160547092595
