"contrast","database","n_sig","n_up","n_down","median_NES","mean_NES","sd_NES","min_padj","median_padj"
"Baseline_Supplement","BioCarta",1,1,0,1.985547087108,1.985547087108,NA,0.0269188625343264,0.0269188625343264
"Baseline_Supplement","GO:BP",147,42,105,-1.87752338959287,-0.878773559861412,1.76732436096001,3.27929469168172e-09,0.0167839010161194
"Baseline_Supplement","Hallmark",11,1,10,-1.89339841777799,-1.63942961111849,1.39727241087693,8.33933944235945e-11,0.00291207231524667
"Baseline_Supplement","KEGG",3,2,1,1.90673903245865,0.635267233119346,2.28815554501075,0.00382851621846633,0.0361252692382208
"Baseline_Supplement","PID",7,0,7,-2.08124202137483,-2.19235639788906,0.210675852801997,1.68996026577086e-05,0.0105586882680015
"Baseline_Supplement","Reactome",66,16,50,-1.88316349192435,-1.08954563102939,1.82260663285827,2.62322590732033e-15,0.00474591162360595
"Baseline_Supplement","WikiPathways",26,9,17,-1.81732781080191,-0.599902746556343,1.90029871515338,1.72013650204193e-05,0.0177445318397555
"Supplement_Interaction","GO:BP",100,75,25,1.87276548367299,0.951484087493477,1.71761498462309,2.11767575351187e-08,0.0172814064136738
"Supplement_Interaction","Hallmark",12,11,1,1.84605632272412,1.53287087365431,1.22413957621109,3.64065104186556e-09,0.00647642589567717
"Supplement_Interaction","KEGG",10,6,4,1.66033505139754,0.268357801945926,1.91041948264037,8.11053221097468e-06,0.0218939271429203
"Supplement_Interaction","PID",10,10,0,2.02114072836069,2.06642769374645,0.17904167900326,0.00017757361012761,0.00898847488978948
"Supplement_Interaction","Reactome",74,58,16,1.85166680330419,1.12126997888348,1.62282617653559,3.5365689485361e-14,0.0107218008828054
"Supplement_Interaction","WikiPathways",12,8,4,1.82553449133548,0.636899613716806,2.07445191600922,6.57325997967063e-08,0.0125819809187557
"Training_CRE","GO:BP",27,23,4,1.92426410838858,1.38681984004273,1.43323311454295,5.77246803012003e-08,0.0186925926143294
"Training_CRE","Hallmark",6,6,0,1.74659909147985,1.84742007474912,0.26619630916636,1.41251347018052e-06,0.0249957843429309
"Training_CRE","PID",2,2,0,2.2735183646379,2.2735183646379,0.16434638627036,7.9344449133948e-05,0.00197717713559104
"Training_CRE","Reactome",38,36,2,1.90164139054617,1.77348320510619,0.89390288656782,1.13702879978591e-05,0.00589903380302449
"Training_CRE","WikiPathways",10,9,1,1.95088673838766,1.55533601326269,1.15064519588733,0.00445004020453408,0.00899940776695043
"Training_PLA","GO:BP",28,12,16,-1.88595786198637,-0.230656309605062,2.11760541849306,7.7514047515152e-13,0.0119542487143236
"Training_PLA","Hallmark",7,1,6,-1.86905909512948,-1.22591069790944,1.6452894693832,6.31709710534682e-12,0.00545675797844685
"Training_PLA","KEGG",7,4,3,1.76963512677701,0.428481243906988,2.14758338297382,4.58586148648515e-07,0.013712731776795
"Training_PLA","PID",5,0,5,-2.11724437394879,-2.09599876618398,0.137360896623841,0.00223490217789943,0.00607534173708718
"Training_PLA","Reactome",37,12,25,-1.86595065804823,-0.671563046248957,1.92009959549712,1.39078752249735e-17,0.012498408671167
"Training_PLA","WikiPathways",11,4,7,-1.90845492631284,-0.507898576699117,2.11718377269514,3.55436701683609e-11,0.0128224851904331
