"contrast","n_sig","n_total","pct","ci_lo","ci_hi"
"Baseline_Supplement",212,2581,8.21387059279349,7.18306333453405,9.34059165003086
"Training_CRE",69,2581,2.67338240991864,2.08587005280569,3.37127680710833
"Training_PLA",188,2581,7.2839984502131,6.31095217430514,8.35522133133849
"Supplement_Interaction",279,2581,10.8097636574971,9.63745148982696,12.0717896377275
