"contrast","database","n_sig","n_up","n_down","median_NES","mean_NES","sd_NES","min_padj","median_padj"
"Cancer_vs_Healthy","GO:BP",194,158,36,1.85805345636208,1.21589561550555,1.55947587963124,1.77952227175339e-11,0.0062011719860313
"Cancer_vs_Healthy","Hallmark",13,12,1,1.9147206994317,1.68407579125393,1.41974001051524,1.20979349807511e-17,6.55250072628062e-05
"Cancer_vs_Healthy","KEGG",11,6,5,1.65268769076208,-0.0407628030445794,2.14704879026651,4.86461053752598e-08,0.0278299449199007
"Cancer_vs_Healthy","PID",5,5,0,1.92673910407329,2.00687070517044,0.172772863469629,0.000646401657156313,0.0185155402179582
"Cancer_vs_Healthy","Reactome",88,61,27,1.79612637163099,0.753153860687628,1.83898308738024,1.59602516764333e-21,0.0148305297420366
"Cancer_vs_Healthy","WikiPathways",32,23,9,1.81730949043117,0.80602946466021,1.91289996830396,2.05214366969759e-13,0.0052646954746496
"Training_CR","GO:BP",9,6,3,1.92560296251977,0.724693213726853,2.05204271228273,1.6435746970333e-06,0.000478202918023145
"Training_CR","Hallmark",4,3,1,1.57486272987067,0.918295976465298,1.77533073925999,8.32927293318451e-09,0.0326945592153715
"Training_CR","KEGG",3,3,0,2.13139869078403,2.04763977673971,0.234082108973279,5.71867632195146e-05,0.000168684841851906
"Training_CR","Reactome",3,3,0,1.9467703294319,1.9788881800802,0.347566114840473,2.54444809294186e-09,0.00337957930291072
"Training_CR","WikiPathways",6,3,3,-0.0119924485981818,0.0200983032022146,2.34289403737426,1.12524714288754e-07,0.00106863435732829
