"group","n","mean","sd","sem","shapiro_p","t_test_p"
"CR",17,60.8823529411765,12.0461734221971,2.92162620024863,0.117310034130924,0.500050205749038
"H",10,63.9,10.397114984456,3.28785644455472,0.0650509953539042,0.500050205749038
