gene,log2_fold_change,neg_log10_pvalue,pi_score,adjusted_pvalue,direction
KRT19,-2.632,3.8541,0,0.097272,Down
ATL3,-2.2747,3.3056,0,0.130396,Down
PRKAR2B,-2.4856,3.8021,0,0.097272,Down
PALM,-2.0878,3.5575,0,0.097272,Down
GGT5,-1.6097,4.718,0,0.047048,Down
CD248,-2.7873,3.6559,0,0.097272,Down
TUBB4A,-2.5858,2.6001,0,0.363641,Down
ABLIM2,2.5719,2.2868,1e-6,0.36577,Up
HNMT,-1.6628,3.3396,3e-6,0.130396,Down
FASN,-2.1561,2.33,9e-6,0.36577,Down
MAP1B,-1.5364,3.2753,9e-6,0.130396,Down
CHMP7,2.6109,1.858,1.4e-5,0.36577,Up
CES1,-2.5913,1.8069,2.1e-5,0.36577,Down
ISLR,-2.5344,1.8212,2.4e-5,0.36577,Down
SDR39U1,1.7163,2.6805,2.5e-5,0.356836,Up
AOX1,-2.3178,1.9431,3.1e-5,0.36577,Down
TMEM70,2.4381,1.8022,4e-5,0.36577,Up
G3BP2,2.0231,2.1703,4.1e-5,0.36577,Up
C11orf68,1.1339,3.7048,6.3e-5,0.097272,Up
RETSAT,-2.2877,1.8069,7.3e-5,0.36577,Down
MRPL13,1.8526,2.1492,1.04e-4,0.36577,Up
ADIRF,-2.1071,1.8419,1.32e-4,0.36577,Down
DRG1,1.551,2.4872,1.39e-4,0.363855,Up
ETHE1,1.0659,3.5926,1.48e-4,0.097272,Up
IL18,1.6726,2.1938,2.14e-4,0.36577,Up
KRT5,-1.77,2.0468,2.38e-4,0.36577,Down
MYL1,1.6488,2.1688,2.66e-4,0.36577,Up
EML4,2.282,1.5562,2.81e-4,0.381487,Up
LIPE,-1.6974,2.0645,3.13e-4,0.36577,Down
ACADL,-1.8,1.9286,3.38e-4,0.36577,Down
GNG2,-1.7746,1.9355,3.67e-4,0.36577,Down
CAV2,-2.026,1.6764,4.01e-4,0.375486,Down
KRT14,-2.2644,1.4943,4.13e-4,0.38607,Down
CTNNA1,-1.1614,2.8948,4.35e-4,0.284683,Down
TNKS1BP1,-1.7345,1.8894,5.28e-4,0.36577,Down
CSTA,-1.5371,2.0114,8.1e-4,0.36577,Down
MYL3,1.8815,1.6336,8.44e-4,0.377116,Up
MYH2,1.8066,1.6758,9.39e-4,0.375486,Up
ASAH1,-1.2298,2.4119,0.001081,0.36577,Down
UBE2F,1.431,2.0407,0.001201,0.36577,Up
C6orf136,1.6646,1.7125,0.001411,0.372321,Up
CAVIN3,-1.6086,1.7665,0.00144,0.372321,Down
SLC25A4,1.4411,1.9485,0.001556,0.36577,Up
PSAP,-1.1695,2.3814,0.001641,0.36577,Down
PLIN4,-1.5167,1.8208,0.001732,0.36577,Down
GNAQ,-1.438,1.8562,0.002141,0.36577,Down
COL6A2,-1.6028,1.665,0.002144,0.375798,Down
DIAPH2,1.4496,1.8335,0.002199,0.36577,Up
NUDT9,1.297,2.039,0.002267,0.36577,Up
GOSR2,1.2335,2.1411,0.002286,0.36577,Up
SLC41A3,1.8095,1.4588,0.002293,0.38845,Up
VCAN,-1.4421,1.8229,0.002351,0.36577,Down
ELAVL1,-1.0914,2.3918,0.002453,0.36577,Down
MARCHF5,1.6816,1.5198,0.002781,0.382621,Up
PSMD7,0.9039,2.7392,0.003342,0.356836,Up
TIMM8A,1.3137,1.8701,0.003494,0.36577,Up
UQCRQ,1.2426,1.9585,0.003684,0.36577,Up
GPD1,-0.9579,2.5289,0.003782,0.363641,Down
CTBP1,1.167,2.0576,0.00397,0.36577,Up
HNRNPA3,-1.2485,1.9111,0.004111,0.36577,Down
MYO6,1.1752,2.0052,0.004401,0.36577,Up
PEBP4,-1.3867,1.6957,0.004453,0.374701,Down
HBA1,-1.8916,1.2396,0.00452,0.419836,Down
DBN1,-1.1304,2.0234,0.005161,0.36577,Down
PAFAH1B2,-0.8917,2.543,0.005399,0.363641,Down
TUBB2B,-1.7676,1.2678,0.005742,0.415551,Down
CAPRIN1,-1.2217,1.8299,0.005813,0.36577,Down
LPCAT3,1.464,1.5262,0.00583,0.382621,Up
EIF2B3,1.0394,2.1458,0.005885,0.36577,Up
MRPS27,1.3066,1.7027,0.00596,0.374701,Up
NADK2,1.2853,1.7189,0.006176,0.372321,Up
ALYREF,-1.5955,1.3437,0.007179,0.41103,Down
LGALS1,-0.9105,2.3351,0.007478,0.36577,Down
HBB,-1.8052,1.1373,0.00885,0.443518,Down
PFKM,1.1599,1.7579,0.009143,0.372321,Up
CLPP,0.9315,2.1752,0.009414,0.36577,Up
FAM162A,1.0326,1.956,0.009556,0.36577,Up
FCGRT,-1.5233,1.3231,0.009651,0.415551,Down
PGAM1,-0.7834,2.5633,0.009818,0.363641,Down
GLG1,-1.7616,1.1398,0.009819,0.443518,Down
CKMT2,1.1641,1.7197,0.009954,0.372321,Up
HMGCS2,-1.3692,1.4606,0.010001,0.38845,Down
ANP32E,1.2972,1.5379,0.010118,0.382621,Up
NDUFA3,1.3995,1.421,0.010265,0.393324,Up
S100A9,-1.4436,1.3749,0.010357,0.39877,Down
PC,-1.4101,1.4055,0.010424,0.393324,Down
CAMK2D,0.7392,2.662,0.01077,0.356836,Up
SLC25A6,1.1871,1.6558,0.010824,0.375798,Up
MRPL1,-1.2192,1.6018,0.011146,0.377116,Down
FTL,1.3737,1.4209,0.011172,0.393324,Up
MAPK14,1.0039,1.9375,0.011352,0.36577,Up
TNS1,-0.9562,2.0221,0.011653,0.36577,Down
SOD1,-0.8258,2.3271,0.011973,0.36577,Down
OVCA2,1.4506,1.3243,0.011993,0.415551,Up
CRADD,1.2611,1.5226,0.012017,0.382621,Up
SEC23IP,-1.1708,1.6162,0.012818,0.377116,Down
ENPP4,1.1131,1.6974,0.012903,0.374701,Up
PDP1,0.9599,1.9619,0.013086,0.36577,Up
CARS2,1.1943,1.5695,0.013352,0.377611,Up
NDUFA9,0.9686,1.9337,0.013396,0.36577,Up
GOT2,1.1595,1.6112,0.013546,0.377116,Up
TIPRL,0.7822,2.3755,0.01386,0.36577,Up
DHRS7C,1.0131,1.8293,0.014022,0.36577,Up
MUSTN1,1.1584,1.5993,0.014043,0.377116,Up
RAP1A,1.2647,1.4618,0.014165,0.38845,Up
TSFM,1.155,1.5855,0.014748,0.377611,Up
FABP4,-1.708,1.0685,0.014961,0.463023,Down
FAHD1,0.9071,2.0089,0.015057,0.36577,Up
RPL30,0.8172,2.2285,0.015099,0.36577,Up
ACACA,1.2346,1.4701,0.015313,0.38845,Up
HDGFL3,-1.76,1.0309,0.015332,0.466706,Down
PYGM,1.0919,1.6532,0.015662,0.375798,Up
IRGQ,1.1818,1.5154,0.016186,0.382621,Up
ALDH5A1,0.9569,1.832,0.017662,0.36577,Up
STMN1,-1.0747,1.6271,0.017835,0.377116,Down
FIS1,0.7605,2.2872,0.018221,0.36577,Up
NDUFA13,1.0136,1.7129,0.018358,0.372321,Up
FLNC,0.9909,1.7328,0.019183,0.372321,Up
ADD3,-0.9398,1.8025,0.020229,0.36577,Down
