gene,cv_cr,cv_h,delta_cv,is_plasma,protein_class
FBP2,33.52237413854893,53.61459491153987,-20.092220772990935,TRUE,"Disease related genes, Enzymes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ARF4,69.4471412457126,34.773019454968804,34.6741217907438,TRUE,"Essential proteins, Plasma proteins, Predicted intracellular proteins"
SLC25A4,53.28685249708657,32.83451551264728,20.45233698443929,FALSE,"Disease related genes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted membrane proteins, Transporters"
TNNC2,58.79120508687099,40.0060549258317,18.78515016103929,FALSE,"Human disease related genes, Predicted intracellular proteins"
PGM1,28.781805721397706,16.787221349841435,11.994584371556272,TRUE,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
YWHAE,64.96924032117644,15.67704133521994,49.2921989859565,TRUE,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Transporters"
GOT1,43.84356570643636,15.863644944740427,27.97992076169593,TRUE,"Cancer-related genes, Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"
CKMT2,62.7324202401517,36.424350994697505,26.308069245454192,TRUE,"Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"
ATP2A3,33.930880654985614,36.85304506762957,-2.9221644126439585,TRUE,"Enzymes, Metabolic proteins, Plasma proteins, Predicted membrane proteins"
RPS27A,93.22818545518369,24.867784732413607,68.36040072277008,FALSE,"Essential proteins, Predicted intracellular proteins, Ribosomal proteins"
PDLIM3,47.196564103160064,26.037459759138258,21.159104344021806,TRUE,"Plasma proteins, Predicted intracellular proteins"
PEBP1,41.16557990039794,20.892832361717335,20.2727475386806,TRUE,"Plasma proteins, Predicted intracellular proteins"
TPM2,98.58142610851566,48.047088399668084,50.53433770884757,TRUE,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"
PARK7,24.629732055393344,18.19098057009175,6.438751485301594,TRUE,"Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
GOT2,58.4173692863192,28.324971291994792,30.092397994324408,TRUE,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, Essential proteins, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"
MYL3,83.87504496611426,30.196130017304633,53.67891494880963,TRUE,"Candidate cardiovascular disease genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"
MT-CO2,35.125648150415294,25.188330688090556,9.937317462324739,FALSE,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"
PRDX1,51.85074323992289,21.454284053562294,30.396459186360598,TRUE,"Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"
ALDOC,37.51600394298568,27.256672139455095,10.259331803530582,TRUE,"Cancer-related genes, Candidate cardiovascular disease genes, Enzymes, Essential proteins, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"
CYCS,38.65938700517871,31.562990990734015,7.096396014444693,TRUE,"Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins"
TPM1,99.21766055367152,44.438377220869974,54.77928333280155,TRUE,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
GPD1,91.04618240158008,25.739414381138882,65.3067680204412,TRUE,"Disease related genes, Enzymes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
CS,31.95018978202453,15.835695964627433,16.114493817397097,TRUE,"Citric acid cycle related proteins, Enzymes, Essential proteins, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
DECR1,60.13243990954802,36.495211099625116,23.637228809922902,TRUE,"Disease related genes, Enzymes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
HSPA8,44.53554604207011,11.103003892286708,33.4325421497834,TRUE,"Cancer-related genes, Enzymes, Essential proteins, Plasma proteins, Predicted intracellular proteins"
HADHA,23.75814778205009,24.31977899271808,-0.5616312106679899,TRUE,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ACO2,33.903613382891635,14.847797694569264,19.05581568832237,TRUE,"Citric acid cycle related proteins, Disease related genes, Enzymes, Essential proteins, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
BLVRB,98.47538437165714,36.97616052722078,61.499223844436365,TRUE,"Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"
ACAT1,20.632091936931733,17.436215021722774,3.1958769152089594,TRUE,"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"
CSRP3,40.653789628906324,37.59146580213977,3.0623238267665513,TRUE,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"
LDB3,26.474122961439363,19.12734696993735,7.346775991502014,TRUE,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"
AKR1A1,56.206305977351875,18.497978708437824,37.70832726891405,TRUE,"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"
GSTM2,37.31012277975748,39.37613403983798,-2.0660112600805007,FALSE,"Enzymes, Metabolic proteins, Predicted intracellular proteins"
MYBPC1,51.01803059979001,58.20317946784749,-7.185148868057482,FALSE,"Disease related genes, Human disease related genes, Predicted intracellular proteins"
TNNI2,84.9917963795169,55.92112013687866,29.070676242638235,FALSE,"Disease related genes, Human disease related genes, Predicted intracellular proteins"
ANXA6,58.31137300997259,14.487274492348115,43.82409851762448,TRUE,"Plasma proteins, Predicted intracellular proteins, Transporters"
CFL2,30.315795170607668,14.84691379829249,15.468881372315177,TRUE,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"
VDAC1,29.22380450230041,14.390238021582077,14.833566480718334,TRUE,"Essential proteins, Plasma proteins, Predicted intracellular proteins"
TXN,76.30488606312788,16.54847942136122,59.75640664176666,TRUE,"Essential proteins, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"
FLNC,51.42393274307573,36.50007119306382,14.923861550011914,TRUE,"Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"
CALM1,145.19836908626124,11.59978894189399,133.59858014436725,FALSE,"Disease related genes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted intracellular proteins, RAS pathway related proteins"
TNNT3,95.69443913762335,48.55372322804923,47.14071590957412,FALSE,"Disease related genes, Human disease related genes, Predicted intracellular proteins"
LDHB,68.82083417937548,55.36029114644454,13.460543032930943,TRUE,"Disease related genes, Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"
BIN1,35.86047798938903,12.937078987093505,22.923399002295525,FALSE,"Disease related genes, Human disease related genes, Predicted intracellular proteins"
ACADVL,25.052985798223272,21.621721260208858,3.431264538014414,FALSE,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"
AKR1B1,38.090529276618334,24.05335904313471,14.037170233483625,TRUE,"Cancer-related genes, Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"
PRDX3,31.20892528623651,14.216487234800285,16.992438051436224,TRUE,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
HADHB,25.923151044998132,22.289450201203096,3.6337008437950367,FALSE,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"
CAT,110.15432877323703,60.16692947380326,49.98739929943377,TRUE,"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"
UQCRC2,40.82181393446639,21.795367731665085,19.026446202801306,FALSE,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"
SLC25A6,52.1228632209611,20.968979006891256,31.153884214069844,TRUE,"FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters"
SLC25A5,34.55482159258534,17.177893941962413,17.376927650622928,TRUE,"Essential proteins, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters"
H2BC4,141.06139841046974,73.8823534868338,67.17904492363594,TRUE,"Essential proteins, Plasma proteins, Predicted intracellular proteins"
TUBA4A,40.72846854026178,25.07797814588788,15.6504903943739,TRUE,"Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins"
DCN,197.07217359823724,28.444343672571254,168.627829925666,TRUE,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"
APOBEC2,38.37265888656558,28.979521873064307,9.393137013501274,FALSE,"Enzymes, Predicted intracellular proteins"
HSP90AA1,55.46614155676822,11.045603092625008,44.42053846414321,TRUE,"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins"
EEF1A2,27.967217690382302,16.89051284275792,11.07670484762438,TRUE,"Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"
ATP5MF,35.85293504734835,25.941352356057767,9.911582691290587,FALSE,"Essential proteins, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
TTN,84.4545056739729,37.19206571582359,47.262439958149315,TRUE,"Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
SRL,24.355851143968028,13.598263396006379,10.757587747961649,FALSE,Predicted intracellular proteins
HSPA1A,31.706174122484963,21.105717455887955,10.600456666597008,FALSE,"Disease related genes, Predicted intracellular proteins"
COX5B,50.57177185640378,18.699342419042175,31.872429437361603,FALSE,"Metabolic proteins, Predicted intracellular proteins, Transporters"
TNNC1,79.83079765236484,53.224099732711686,26.60669791965315,TRUE,"Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins"
ECHS1,66.94669227843224,19.61107548134588,47.33561679708636,TRUE,"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"
NDUFA4,39.816357030095055,21.453112593626898,18.363244436468158,FALSE,"Disease related genes, Essential proteins, Human disease related genes, Metabolic proteins, Predicted membrane proteins"
ATP5MG,43.76786277249618,26.85362498498544,16.91423778751074,FALSE,"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
PFN1,111.06675112014308,16.242027023555252,94.82472409658783,TRUE,"Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins"
ATP5F1C,43.877101077542235,21.095693562397365,22.78140751514487,TRUE,"Essential proteins, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Transporters"
ANKRD2,43.21923111035832,36.31151336867426,6.90771774168406,FALSE,Predicted intracellular proteins
UQCRC1,33.10896859514425,19.586711831893684,13.522256763250564,FALSE,"Disease related genes, Enzymes, Essential proteins, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"
HADH,39.89361688172481,13.204663054553262,26.68895382717155,FALSE,"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted intracellular proteins"
PDLIM5,38.00716488972512,45.676518178444454,-7.669353288719336,TRUE,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
YWHAG,49.82273154493278,15.798601052291557,34.02413049264122,TRUE,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"
PLIN1,157.7762064591039,42.157912157183006,115.61829430192088,TRUE,"Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
