subset,n,r,ci_lo,ci_hi,med_cv_cr,med_cv_h,wilcox_p,delta_cv_wilcox_p
all,2018,0.3493,0.3104,0.387,37.71,24.68,0,NA
plasma,855,0.4081,0.3507,0.4625,37.62,22.34,NA,4.717559676237215e-12
non_plasma,1163,0.3252,0.2728,0.3756,37.8,26.55,NA,NA
