"facet","p_raw","cliffs_d","p_bh"
"CR (pooled)",7.53017648236209e-11,0.0836162199467219,7.53017648236209e-11
"CRE",1.29882385984502e-29,-0.202329565172788,1.94823578976753e-29
"PLA",0,0.365173462549616,0
