gene,quadrant,sig_cat,logFC_CvH,logFC_TCR,pi_CvH,pi_TCR
SNCA,Reversed Up,Cancer,3.47960499399927,-0.0772990830507077,2.4505748800773174e-23,0.988467904737282
PLIN1,Reversed Up,Cancer,3.21859185129004,-0.155555490954153,7.018023535224554e-12,0.963619659371162
SLC2A1,Reversed Up,Cancer,2.61879579122543,-0.00809338277121974,1.0266013327403183e-13,0.9998607709103065
LXN,Reversed Up,Cancer,2.46138187311751,-0.345344686877965,4.2461754328254144e-14,0.6446630563187904
CAT,Reversed Up,Cancer,2.41838959084413,-0.11597977478408,1.575422046908855e-14,0.964523697816392
ANK1,Reversed Up,Cancer,2.39502984095864,-0.111936851136017,7.839323857920563e-12,0.9718942755492902
AOC3,Reversed Up,Cancer,2.33485825543897,-0.0336354309330407,2.1980339255140883e-9,0.997927732750275
STOM,Reversed Up,Cancer,2.12258774968057,-0.0983475961338591,9.149777017000896e-11,0.9751253086727324
EPB41,Reversed Up,Cancer,2.06827228355424,-0.242272462577425,1.5373818781185914e-9,0.840438722472147
RBP4,Reversed Up,Cancer,1.97346844690203,-0.0881491861196206,5.576940993827488e-10,0.9778971541495012
COL6A2,Reversed Up,Cancer,1.94484868019017,-0.126697855676744,5.122079513952735e-5,0.9728068888561632
SPTB,Reversed Up,Cancer,1.93795746228484,-0.135359849371094,1.976617432252828e-8,0.953376922086658
BPGM,Reversed Up,Cancer,1.84843923958157,-0.0553432835111121,1.0080701074895346e-9,0.9910248803236196
ALAD,Reversed Up,Cancer,1.81860090919972,-0.175977191915482,1.3809429859607356e-8,0.90723308453875
FBN1,Reversed Up,Cancer,1.80506670877355,-0.0163157662671036,8.816928153362578e-6,0.9994881637423504
ACAT2,Reversed Up,Cancer,1.75459125052056,-0.588527928177381,1.0648012509152237e-8,0.1403076058943004
GNAI3,Reversed Up,Cancer,1.65520128243063,-0.113553027641271,1.207083900982171e-7,0.9542275082935212
HPRT1,Reversed Up,Cancer,1.56506706648688,-0.257373079678803,8.225157767295964e-8,0.7403267037954664
SOD3,Reversed Up,Cancer,1.46683149786406,-0.189997433699874,2.0653652609569714e-6,0.8726197116196234
ARRB1,Reversed Up,Cancer,1.45394387781833,-0.165873753417522,5.813635805006123e-4,0.93123658381563
