config,set,n,direction,PValue,PValue.Mixed,expected,consistent,cor_within
Imp_Pi,cvh_up,371,Up,0.9993537413119806,0.5397070427810982,Up,TRUE,0.21181357727844352
Imp_Pi,cvh_down,146,Up,0.28291779020314023,0.33947743584467144,Down,FALSE,0.21181357727844352
Imp_P,cvh_up,482,Down,0.8935716059942035,0.5049832551455152,Up,FALSE,0.21181357727844352
Imp_P,cvh_down,378,Up,0.38348177470706546,0.38484176726497193,Down,FALSE,0.21181357727844352
