uniprot_id,module_color,module_num,gene
P02144,grey,0,MB
P06732,yellow,4,CKM
P04075,turquoise,1,ALDOA
P04406,turquoise,1,GAPDH
P12277,grey,0,CKB
P07451,grey,0,CA3
Q13642,brown,3,FHL1
P68133,green,5,ACTA1
P06733,turquoise,1,ENO1
P13929,brown,3,ENO3
P14618,yellow,4,PKM
P60174,grey,0,TPI1
P09104,grey,0,ENO2
P18669,turquoise,1,PGAM1
P31415,brown,3,CASQ1
P00558,turquoise,1,PGK1
P04792,turquoise,1,HSPB1
P05976,green,5,MYL1
P11217,yellow,4,PYGM
P02511,grey,0,CRYAB
P00338,turquoise,1,LDHA
P10916,green,5,MYL2
P00568,yellow,4,AK1
P15090,turquoise,1,FABP4
P05413,blue,2,FABP3
O14983,brown,3,ATP2A1
P40925,grey,0,MDH1
P12883,green,5,MYH7
P15259,yellow,4,PGAM2
P11216,grey,0,PYGB
P30041,turquoise,1,PRDX6
P48735,blue,2,IDH2
Q9UKX2,green,5,MYH2
P16615,brown,3,ATP2A2
P06576,grey,0,ATP5F1B
P40926,blue,2,MDH2
P25705,blue,2,ATP5F1A
P12882,green,5,MYH1
P08237,brown,3,PFKM
P23297,grey,0,S100A1
O14558,grey,0,HSPB6
P68104,turquoise,1,EEF1A1
O00757,yellow,4,FBP2
P18085,turquoise,1,ARF4
P12235,yellow,4,SLC25A4
P02585,green,5,TNNC2
P36871,brown,3,PGM1
P62258,turquoise,1,YWHAE
P17174,blue,2,GOT1
P17540,blue,2,CKMT2
Q93084,brown,3,ATP2A3
P62979,turquoise,1,RPS27A
Q53GG5,brown,3,PDLIM3
P30086,turquoise,1,PEBP1
P07951,green,5,TPM2
Q99497,turquoise,1,PARK7
P00505,blue,2,GOT2
P08590,green,5,MYL3
P00403,yellow,4,MT-CO2
Q06830,turquoise,1,PRDX1
P09972,grey,0,ALDOC
P99999,yellow,4,CYCS
P09493,green,5,TPM1
P21695,turquoise,1,GPD1
O75390,blue,2,CS
Q16698,grey,0,DECR1
P11142,turquoise,1,HSPA8
P40939,blue,2,HADHA
Q99798,blue,2,ACO2
P30043,turquoise,1,BLVRB
P24752,blue,2,ACAT1
P50461,brown,3,CSRP3
O75112,green,5,LDB3
P14550,turquoise,1,AKR1A1
P28161,grey,0,GSTM2
Q00872,green,5,MYBPC1
P48788,green,5,TNNI2
P08133,turquoise,1,ANXA6
Q9Y281,brown,3,CFL2
P21796,yellow,4,VDAC1
P10599,turquoise,1,TXN
Q14315,brown,3,FLNC
P0DP23,turquoise,1,CALM1
P45378,green,5,TNNT3
P07195,turquoise,1,LDHB
O00499,brown,3,BIN1
P49748,blue,2,ACADVL
P15121,grey,0,AKR1B1
P30048,grey,0,PRDX3
P55084,blue,2,HADHB
P04040,turquoise,1,CAT
P22695,yellow,4,UQCRC2
P12236,blue,2,SLC25A6
P05141,yellow,4,SLC25A5
P62807,turquoise,1,H2BC4
P68366,brown,3,TUBA4A
P07585,turquoise,1,DCN
Q9Y235,brown,3,APOBEC2
P07900,turquoise,1,HSP90AA1
Q05639,brown,3,EEF1A2
P56134,blue,2,ATP5MF
Q8WZ42,green,5,TTN
Q86TD4,brown,3,SRL
P0DMV8,turquoise,1,HSPA1A
P10606,yellow,4,COX5B
P63316,green,5,TNNC1
P30084,grey,0,ECHS1
O00483,blue,2,NDUFA4
O75964,blue,2,ATP5MG
P07737,turquoise,1,PFN1
P36542,blue,2,ATP5F1C
Q9GZV1,blue,2,ANKRD2
P31930,yellow,4,UQCRC1
Q16836,turquoise,1,HADH
Q96HC4,green,5,PDLIM5
P61981,turquoise,1,YWHAG
O60240,turquoise,1,PLIN1
P24310,yellow,4,COX7A1
P07108,turquoise,1,DBI
P04179,grey,0,SOD2
P06753,green,5,TPM3
P68371,turquoise,1,TUBB4B
Q6ZMU5,brown,3,TRIM72
P13073,yellow,4,COX4I1
Q16851,grey,0,UGP2
P48047,blue,2,ATP5PO
P51884,turquoise,1,LUM
O14958,blue,2,CASQ2
P09417,turquoise,1,QDPR
Q96DG6,brown,3,CMBL
P54296,green,5,MYOM2
Q09666,turquoise,1,AHNAK
Q04760,brown,3,GLO1
Q9Y277,yellow,4,VDAC3
P09211,turquoise,1,GSTP1
Q13011,blue,2,ECH1
Q00325,blue,2,SLC25A3
O75947,blue,2,ATP5PD
Q8N142,brown,3,ADSS1
Q6NZI2,turquoise,1,CAVIN1
P00846,blue,2,MT-ATP6
