"test","group","statistic","p_value","df","mean_diff","ci_lo","ci_hi","shapiro_p"
"paired_t_CRE","CRE",5.24951207724873,0.000774293145037495,8,22.7777777777778,12.7719621946568,32.7835933608987,0.304798492176922
"paired_t_PLA","PLA",5.10062676958655,0.00222003376411489,6,16.4285714285714,8.5473309571751,24.3098118999678,0.54544556843783
"unpaired_t_delta","CRE vs PLA",1.17494699089209,0.260034545298363,13.6993774088349,-6.34920634920635,-5.26474897319035,17.9631616716031,NA
