"test","group","statistic","p_value","df","mean_diff","ci_lo","ci_hi","shapiro_p"
"paired_t_CRE","CRE",5.684525467199,0.00127807303924175,6,32.1428571428571,18.3069198203226,45.9787944653917,0.372625181071218
"paired_t_PLA","PLA",4.38178046004133,0.00465921494399394,6,28.5714285714286,12.6163236059664,44.5265335368907,0.345624164830226
"unpaired_t_delta","CRE vs PLA",0.413802944301184,0.686462402763578,11.7642778300151,-3.57142857142857,-15.2752290091271,22.4180861519842,NA
