sample_id,Group_Time,B_M_ratio,top_decile_flag
CR6_T1,PLA_T1,1.314879584520636,FALSE
CR6_T2,PLA_T2,3.4304602227973438,FALSE
CR7_T2,PLA_T2,3.053060758099868,FALSE
CR8_T1,CRE_T1,1.7624162852610634,FALSE
CR8_T2,CRE_T2,1.0373614273917071,FALSE
CR10_T2,CRE_T2,0.9691984474083905,FALSE
CR12_T1,CRE_T1,1.3225956363015852,FALSE
CR12_T2,CRE_T2,2.9150646194869143,FALSE
CR15_T1,PLA_T1,14.582045928506135,TRUE
CR17_T1,PLA_T1,2.224211116313564,FALSE
CR17_T2,PLA_T2,2.8942793282250214,FALSE
CR18_T1,PLA_T1,1.2521811712270277,FALSE
CR18_T2,PLA_T2,5.903067651141087,FALSE
CR22_T1,CRE_T1,13.540264548063726,TRUE
CR22_T2,CRE_T2,4.438717771783451,FALSE
CR25_T1,CRE_T1,6.069864676924436,FALSE
CR25_T2,CRE_T2,2.5530017761989345,FALSE
CR72_T1,CRE_T1,2.424709359238507,FALSE
CR72_T2,CRE_T2,11.160738796710117,TRUE
CR149_T1,PLA_T1,6.477308738703494,TRUE
CR149_T2,PLA_T2,2.478541752767929,FALSE
CR163_T1,CRE_T1,1.5404799474140491,FALSE
CR163_T2,CRE_T2,2.4506672865935544,FALSE
CR383_T1,CRE_T1,0.5836839815189753,FALSE
CR386_T2,PLA_T2,5.94108999974655,FALSE
PPS2,CTL_T1,0.36702818755613525,FALSE
PPS20,CTL_T1,0.9223309571726823,FALSE
PPS28,CTL_T1,0.4608655110433124,FALSE
PPS31,CTL_T1,0.3740117173941245,FALSE
PPS32,CTL_T1,0.3069407135749142,FALSE
PPS37,CTL_T1,0.3741814833894907,FALSE
PPS40,CTL_T1,0.3289025481209268,FALSE
PPS41,CTL_T1,1.2762835451187995,FALSE
PPS42,CTL_T1,0.22899854047522333,FALSE
PPS44,CTL_T1,0.41049959752983944,FALSE
