uniprot_id,gene,in_sam,in_ours,in_blood_blacklist
P68871,HBB,FALSE,FALSE,NA
P69905,HBA1,FALSE,FALSE,NA
P02144,MB,TRUE,TRUE,FALSE
P02768,ALB,FALSE,FALSE,NA
P06732,CKM,TRUE,TRUE,FALSE
