sample_id,Group_Time,B_M_ratio,mahal_dist,n_flags,consensus_outlier,label_this
CR6_T1,PLA_T1,1.314879584520636,0.4094669093996638,0,FALSE,FALSE
CR6_T2,PLA_T2,3.4304602227973438,0.16493499890249286,2,FALSE,FALSE
CR7_T2,PLA_T2,3.053060758099868,0.3719993486046162,0,FALSE,FALSE
CR8_T1,CRE_T1,1.7624162852610634,4.467155063966731,0,FALSE,FALSE
CR8_T2,CRE_T2,1.0373614273917071,3.511231234026292,0,FALSE,FALSE
CR10_T2,CRE_T2,0.9691984474083905,0.1302962605175566,0,FALSE,FALSE
CR12_T1,CRE_T1,1.3225956363015852,0.9475072567586891,0,FALSE,FALSE
CR12_T2,CRE_T2,2.9150646194869143,0.18747214222157269,0,FALSE,FALSE
CR15_T1,PLA_T1,14.582045928506135,3.5405944915636374,1,FALSE,TRUE
CR17_T1,PLA_T1,2.224211116313564,0.4002975079164153,0,FALSE,FALSE
CR17_T2,PLA_T2,2.8942793282250214,0.3588316545780557,0,FALSE,FALSE
CR18_T1,PLA_T1,1.2521811712270277,0.6295056330504356,0,FALSE,FALSE
CR18_T2,PLA_T2,5.903067651141087,0.6689795635763096,0,FALSE,FALSE
CR22_T1,CRE_T1,13.540264548063726,5.126908992733595,2,FALSE,TRUE
CR22_T2,CRE_T2,4.438717771783451,0.7546687482800577,0,FALSE,FALSE
CR25_T1,CRE_T1,6.069864676924436,2.011517469581179,0,FALSE,FALSE
CR25_T2,CRE_T2,2.5530017761989345,0.08612399385115743,0,FALSE,FALSE
CR72_T1,CRE_T1,2.424709359238507,0.19908574406246934,0,FALSE,FALSE
CR72_T2,CRE_T2,11.160738796710117,4.12880590807683,1,FALSE,TRUE
CR149_T1,PLA_T1,6.477308738703494,1.283083885918092,0,FALSE,TRUE
CR149_T2,PLA_T2,2.478541752767929,0.16003205080568156,0,FALSE,FALSE
CR163_T1,CRE_T1,1.5404799474140491,1.1262766251648155,0,FALSE,FALSE
CR163_T2,CRE_T2,2.4506672865935544,0.7594156719366412,0,FALSE,FALSE
CR383_T1,CRE_T1,0.5836839815189753,0.6009772272736644,0,FALSE,FALSE
CR386_T2,PLA_T2,5.94108999974655,0.8018679851206786,0,FALSE,FALSE
PPS20,,0.9223309571726823,1.0214078057676332,0,FALSE,FALSE
PPS28,,0.4608655110433124,1.6249936360481394,0,FALSE,FALSE
PPS31,,0.3740117173941245,1.4506863695241594,0,FALSE,FALSE
PPS32,,0.3069407135749142,2.1766589910863052,0,FALSE,FALSE
PPS37,,0.3741814833894907,0.8421064339828778,0,FALSE,FALSE
PPS40,,0.3289025481209268,1.5962042131845486,0,FALSE,FALSE
PPS41,,1.2762835451187995,1.1290475768474701,0,FALSE,FALSE
PPS42,,0.22899854047522333,0.9037780788975213,0,FALSE,FALSE
PPS44,,0.41049959752983944,0.7644055917052793,0,FALSE,FALSE
