var1,var2,rho,p
HBB_pct,HBB_pct,1,NA
HBA1_pct,HBB_pct,0.9579831932773111,1.812416040511248e-19
MB_pct,HBB_pct,-0.8901960784313726,8.303681407914528e-13
ALB_pct,HBB_pct,0.8187675070028012,1.8515670280834213e-9
CKM_pct,HBB_pct,-0.8215686274509805,1.464139541684381e-9
B_M_ratio,HBB_pct,0.9630252100840339,2.2830267879090943e-20
HBB_pct,HBA1_pct,0.9579831932773111,1.812416040511248e-19
HBA1_pct,HBA1_pct,1,NA
MB_pct,HBA1_pct,-0.8523809523809525,8.177142259855004e-11
ALB_pct,HBA1_pct,0.8168067226890757,2.177107165904387e-9
CKM_pct,HBA1_pct,-0.8467787114845939,1.446972873499786e-10
B_M_ratio,HBA1_pct,0.9484593837535016,4.913326442330665e-18
HBB_pct,MB_pct,-0.8901960784313726,8.303681407914528e-13
HBA1_pct,MB_pct,-0.8523809523809525,8.177142259855004e-11
MB_pct,MB_pct,1,NA
ALB_pct,MB_pct,-0.7675070028011206,7.468763755089292e-8
CKM_pct,MB_pct,0.7960784313725492,1.0815201716679671e-8
B_M_ratio,MB_pct,-0.9369747899159665,1.2459119686338237e-16
HBB_pct,ALB_pct,0.8187675070028012,1.8515670280834213e-9
HBA1_pct,ALB_pct,0.8168067226890757,2.177107165904387e-9
MB_pct,ALB_pct,-0.7675070028011206,7.468763755089292e-8
ALB_pct,ALB_pct,1,NA
CKM_pct,ALB_pct,-0.8246498599439778,1.1255704895432104e-9
B_M_ratio,ALB_pct,0.8792717086834736,3.650692549281192e-12
HBB_pct,CKM_pct,-0.8215686274509805,1.464139541684381e-9
HBA1_pct,CKM_pct,-0.8467787114845939,1.446972873499786e-10
MB_pct,CKM_pct,0.7960784313725492,1.0815201716679671e-8
ALB_pct,CKM_pct,-0.8246498599439778,1.1255704895432104e-9
CKM_pct,CKM_pct,1,NA
B_M_ratio,CKM_pct,-0.8971988795518209,2.9537399653660413e-13
HBB_pct,B_M_ratio,0.9630252100840339,2.2830267879090943e-20
HBA1_pct,B_M_ratio,0.9484593837535016,4.913326442330665e-18
MB_pct,B_M_ratio,-0.9369747899159665,1.2459119686338237e-16
ALB_pct,B_M_ratio,0.8792717086834736,3.650692549281192e-12
CKM_pct,B_M_ratio,-0.8971988795518209,2.9537399653660413e-13
B_M_ratio,B_M_ratio,1,NA
