uniprot_id,gene,in_sam,in_ours,set_membership
P02144,MB,TRUE,TRUE,both
P06732,CKM,TRUE,TRUE,both
P04075,ALDOA,TRUE,TRUE,both
P04406,GAPDH,TRUE,TRUE,both
P12277,CKB,TRUE,TRUE,both
P07451,CA3,TRUE,TRUE,both
Q13642,FHL1,TRUE,TRUE,both
P68133,ACTA1,TRUE,TRUE,both
P06733,ENO1,TRUE,TRUE,both
P13929,ENO3,TRUE,TRUE,both
P60709,ACTB,TRUE,TRUE,both
P32119,PRDX2,TRUE,TRUE,both
P14618,PKM,TRUE,TRUE,both
P60174,TPI1,TRUE,TRUE,both
P09104,ENO2,TRUE,TRUE,both
P18669,PGAM1,TRUE,TRUE,both
P31415,CASQ1,TRUE,TRUE,both
P00558,PGK1,TRUE,TRUE,both
P04792,HSPB1,TRUE,TRUE,both
P05976,MYL1,TRUE,TRUE,both
P11217,PYGM,TRUE,TRUE,both
P02511,CRYAB,TRUE,TRUE,both
P00338,LDHA,TRUE,TRUE,both
P10916,MYL2,TRUE,TRUE,both
P00568,AK1,TRUE,TRUE,both
P15090,FABP4,TRUE,TRUE,both
P05413,FABP3,TRUE,TRUE,both
O14983,ATP2A1,TRUE,TRUE,both
P00918,CA2,TRUE,TRUE,both
P40925,MDH1,TRUE,TRUE,both
P12883,MYH7,TRUE,TRUE,both
P15259,PGAM2,TRUE,TRUE,both
P11216,PYGB,TRUE,TRUE,both
P30041,PRDX6,TRUE,TRUE,both
P48735,IDH2,TRUE,TRUE,both
Q9UKX2,MYH2,TRUE,TRUE,both
Q96A32,MYLPF,TRUE,FALSE,sam_only
P16615,ATP2A2,TRUE,TRUE,both
P06576,ATP5F1B,TRUE,TRUE,both
P40926,MDH2,TRUE,TRUE,both
P25705,ATP5F1A,TRUE,TRUE,both
P12882,MYH1,TRUE,TRUE,both
P08237,PFKM,TRUE,TRUE,both
P23297,S100A1,TRUE,TRUE,both
O14558,HSPB6,TRUE,TRUE,both
P68104,EEF1A1,TRUE,TRUE,both
O00757,FBP2,TRUE,TRUE,both
P18085,ARF4,TRUE,TRUE,both
P12235,SLC25A4,TRUE,TRUE,both
P02585,TNNC2,TRUE,TRUE,both
P36871,PGM1,TRUE,TRUE,both
P62258,YWHAE,TRUE,TRUE,both
P17174,GOT1,TRUE,TRUE,both
P17540,CKMT2,TRUE,TRUE,both
P60660,MYL6,TRUE,TRUE,both
Q93084,ATP2A3,TRUE,TRUE,both
P62979,RPS27A,TRUE,TRUE,both
Q53GG5,PDLIM3,TRUE,TRUE,both
P30086,PEBP1,TRUE,TRUE,both
P07951,TPM2,TRUE,TRUE,both
P00441,SOD1,TRUE,TRUE,both
P06744,GPI,TRUE,TRUE,both
P07437,TUBB,TRUE,TRUE,both
Q99497,PARK7,TRUE,TRUE,both
P00505,GOT2,TRUE,TRUE,both
P08590,MYL3,TRUE,TRUE,both
P00403,MT-CO2,TRUE,TRUE,both
Q06830,PRDX1,TRUE,TRUE,both
P09972,ALDOC,TRUE,TRUE,both
P99999,CYCS,TRUE,TRUE,both
P09493,TPM1,TRUE,TRUE,both
P62937,PPIA,TRUE,TRUE,both
P21695,GPD1,TRUE,TRUE,both
P23528,CFL1,TRUE,TRUE,both
P08670,VIM,TRUE,TRUE,both
O75390,CS,TRUE,TRUE,both
Q16698,DECR1,TRUE,TRUE,both
P11142,HSPA8,TRUE,TRUE,both
P40939,HADHA,TRUE,TRUE,both
Q99798,ACO2,TRUE,TRUE,both
P09382,LGALS1,TRUE,TRUE,both
P30043,BLVRB,TRUE,TRUE,both
P24752,ACAT1,TRUE,TRUE,both
P07355,ANXA2,TRUE,TRUE,both
P50461,CSRP3,TRUE,TRUE,both
O75112,LDB3,TRUE,TRUE,both
P14550,AKR1A1,TRUE,TRUE,both
P28161,GSTM2,TRUE,TRUE,both
Q00872,MYBPC1,TRUE,TRUE,both
P48788,TNNI2,TRUE,TRUE,both
P08133,ANXA6,TRUE,TRUE,both
Q9Y281,CFL2,TRUE,TRUE,both
P21796,VDAC1,TRUE,TRUE,both
P10599,TXN,TRUE,TRUE,both
Q14315,FLNC,TRUE,TRUE,both
P0DP23,CALM1,TRUE,TRUE,both
P45378,TNNT3,TRUE,TRUE,both
P07195,LDHB,TRUE,TRUE,both
O00499,BIN1,TRUE,TRUE,both
P49748,ACADVL,TRUE,TRUE,both
P15121,AKR1B1,TRUE,TRUE,both
P30048,PRDX3,TRUE,TRUE,both
P55084,HADHB,TRUE,TRUE,both
P04040,CAT,TRUE,TRUE,both
P26447,S100A4,TRUE,TRUE,both
P22695,UQCRC2,TRUE,TRUE,both
P68363,TUBA1B,TRUE,TRUE,both
P12236,SLC25A6,TRUE,TRUE,both
P05141,SLC25A5,TRUE,TRUE,both
P62807,H2BC4,TRUE,TRUE,both
P68366,TUBA4A,TRUE,TRUE,both
P07585,DCN,TRUE,TRUE,both
Q9Y235,APOBEC2,TRUE,TRUE,both
P07900,HSP90AA1,TRUE,TRUE,both
Q05639,EEF1A2,TRUE,TRUE,both
P56134,ATP5MF,TRUE,TRUE,both
Q8WZ42,TTN,TRUE,TRUE,both
Q86TD4,SRL,TRUE,TRUE,both
P0DMV8,HSPA1A,TRUE,TRUE,both
P10606,COX5B,TRUE,TRUE,both
P63316,TNNC1,TRUE,TRUE,both
Q13228,SELENBP1,TRUE,TRUE,both
P30084,ECHS1,TRUE,TRUE,both
O00483,NDUFA4,TRUE,TRUE,both
O75964,ATP5MG,TRUE,TRUE,both
P07737,PFN1,TRUE,TRUE,both
P36542,ATP5F1C,TRUE,TRUE,both
Q9GZV1,ANKRD2,TRUE,TRUE,both
P31930,UQCRC1,TRUE,TRUE,both
Q16836,HADH,TRUE,TRUE,both
Q96HC4,PDLIM5,TRUE,TRUE,both
P61981,YWHAG,TRUE,TRUE,both
O60240,PLIN1,TRUE,TRUE,both
P24310,COX7A1,TRUE,TRUE,both
P07108,DBI,TRUE,TRUE,both
P04179,SOD2,TRUE,TRUE,both
P06753,TPM3,TRUE,TRUE,both
P68371,TUBB4B,TRUE,TRUE,both
Q6ZMU5,TRIM72,TRUE,TRUE,both
P13073,COX4I1,TRUE,TRUE,both
Q16851,UGP2,TRUE,TRUE,both
P48047,ATP5PO,TRUE,TRUE,both
P04083,ANXA1,TRUE,TRUE,both
P51884,LUM,TRUE,TRUE,both
O14958,CASQ2,TRUE,TRUE,both
P09417,QDPR,TRUE,TRUE,both
Q96DG6,CMBL,TRUE,TRUE,both
P54296,MYOM2,TRUE,TRUE,both
Q09666,AHNAK,TRUE,TRUE,both
Q04760,GLO1,TRUE,TRUE,both
P14174,MIF,TRUE,TRUE,both
Q9Y277,VDAC3,TRUE,TRUE,both
P09211,GSTP1,TRUE,TRUE,both
Q13011,ECH1,TRUE,TRUE,both
P06396,GSN,TRUE,TRUE,both
Q00325,SLC25A3,TRUE,TRUE,both
O75947,ATP5PD,TRUE,TRUE,both
Q8N142,ADSS1,TRUE,TRUE,both
Q6NZI2,CAVIN1,TRUE,TRUE,both
P00846,MT-ATP6,TRUE,TRUE,both
P19237,TNNI1,TRUE,TRUE,both
Q9UBY9,HSPB7,TRUE,TRUE,both
P04080,CSTB,TRUE,TRUE,both
O75298,RTN2,TRUE,TRUE,both
P13796,LCP1,TRUE,TRUE,both
P35609,ACTN2,TRUE,TRUE,both
Q13423,NNT,TRUE,TRUE,both
P13805,TNNT1,TRUE,TRUE,both
P30044,PRDX5,TRUE,TRUE,both
Q9Y2J8,PADI2,TRUE,TRUE,both
Q9UDW1,UQCR10,TRUE,TRUE,both
P13804,ETFA,TRUE,TRUE,both
P33121,ACSL1,TRUE,TRUE,both
P35754,GLRX,TRUE,TRUE,both
P07954,FH,TRUE,TRUE,both
P49773,HINT1,TRUE,TRUE,both
P11055,MYH3,TRUE,TRUE,both
O75323,NIPSNAP2,TRUE,TRUE,both
P02794,FTH1,TRUE,TRUE,both
P45880,VDAC2,TRUE,TRUE,both
Q6FI13,HIST2H2AA3,TRUE,FALSE,sam_only
P14621,ACYP2,TRUE,TRUE,both
P09669,COX6C,TRUE,TRUE,both
P20674,COX5A,TRUE,TRUE,both
P47985,UQCRFS1,TRUE,TRUE,both
P00387,CYB5R3,TRUE,TRUE,both
P08238,HSP90AB1,TRUE,TRUE,both
P22061,PCMT1,TRUE,TRUE,both
P62805,H4C1,TRUE,FALSE,sam_only
P07602,PSAP,TRUE,TRUE,both
P42126,ECI1,TRUE,TRUE,both
Q9UHQ9,CYB5R1,TRUE,TRUE,both
Q9H7C9,AAMDC,TRUE,TRUE,both
Q00169,PITPNA,TRUE,TRUE,both
P56385,ATP5ME,TRUE,TRUE,both
P14927,UQCRB,TRUE,TRUE,both
Q9NRX4,PHPT1,TRUE,TRUE,both
P61758,VBP1,TRUE,TRUE,both
P00450,CP,TRUE,TRUE,both
Q07021,C1QBP,TRUE,TRUE,both
P00325,ADH1B,TRUE,TRUE,both
P35573,AGL,TRUE,TRUE,both
P10768,ESD,TRUE,TRUE,both
Q9NZU5,LMCD1,TRUE,TRUE,both
P63241,EIF5A,TRUE,TRUE,both
P30049,ATP5F1D,TRUE,TRUE,both
P16671,CD36,TRUE,TRUE,both
Q96Q06,PLIN4,TRUE,TRUE,both
P13693,TPT1,TRUE,TRUE,both
P08574,CYC1,TRUE,TRUE,both
