module,group,gene,z
blue,CRE_T1,UBA6,-0.08487435238045572
blue,CRE_T1,FITM1,-0.4386682920902
blue,CRE_T1,MAP1LC3B2,0.36205300285918407
blue,CRE_T1,PGP,0.5030294428808645
blue,CRE_T1,CASTOR2,0.017025073824827652
blue,CRE_T1,DHRS7C,0.1683820131627916
blue,CRE_T1,SMTNL1,0.17678615124542338
blue,CRE_T1,NACA,-0.07814237726975502
blue,CRE_T1,SLC35A4,0.15528120251649027
blue,CRE_T1,FXYD1,0.13660151578624444
blue,CRE_T1,STXBP3,0.0762152091934163
blue,CRE_T1,PSMD11,0.34984437565725834
blue,CRE_T1,PSMD12,-0.050516268313199275
blue,CRE_T1,IPO5,0.2530103237599417
blue,CRE_T1,EML1,0.21150920853036292
blue,CRE_T1,RTCA,0.34237015247520414
blue,CRE_T1,BIN1,0.06245223165375369
blue,CRE_T1,KPNA3,0.07213393876275766
blue,CRE_T1,KPNA4,0.45821262287605086
blue,CRE_T1,CES2,0.09671181691925342
blue,CRE_T1,FBP2,0.37728303265652846
blue,CRE_T1,HSPB6,-0.24520507913810155
blue,CRE_T1,GOSR2,0.198741362685668
blue,CRE_T1,IMPA2,0.26059099474880154
blue,CRE_T1,PDCD5,0.43826816396288393
blue,CRE_T1,PRMT5,0.3175308083158078
blue,CRE_T1,MGST3,-0.1500878666441862
blue,CRE_T1,CASQ2,-0.15058211285053166
blue,CRE_T1,ATP2A1,0.23924130644777403
blue,CRE_T1,PFDN6,0.24629598863504132
blue,CRE_T1,EIF3D,-0.07848471988050261
blue,CRE_T1,YKT6,0.42916313259370675
blue,CRE_T1,TAPBP,-0.056991567274363206
blue,CRE_T1,CYB5B,-0.14404911031598047
blue,CRE_T1,PSMD3,-0.14051675603365657
blue,CRE_T1,ERI3,0.4229580125165458
blue,CRE_T1,CHMP2A,0.3814977153900019
blue,CRE_T1,GSTZ1,0.39732855503022196
blue,CRE_T1,SGTA,0.40287398853179285
blue,CRE_T1,ENSA,0.39709829035445193
blue,CRE_T1,SLC25A20,0.04443479460809585
blue,CRE_T1,LANCL1,0.2742974200381805
blue,CRE_T1,SLC37A4,-0.43770177537187
blue,CRE_T1,NRDC,0.5854490548437701
blue,CRE_T1,AHCYL1,-0.049611786421037855
blue,CRE_T1,MCM3AP,-0.7208902017760165
blue,CRE_T1,PLIN3,-0.20726814518338693
blue,CRE_T1,KPNA6,0.18661566458583306
blue,CRE_T1,USO1,0.02194159301548734
blue,CRE_T1,TOM1,0.2535217352242474
blue,CRE_T1,PFKFB2,0.10623323972607458
blue,CRE_T1,EIF5B,0.45286529118889257
blue,CRE_T1,EDF1,0.003611078737440337
blue,CRE_T1,DIAPH2,-0.2752822069229828
blue,CRE_T1,DNAJA2,0.03166103063842329
blue,CRE_T1,CUTA,0.17632382552657203
blue,CRE_T1,PFDN1,0.25635282028823014
blue,CRE_T1,NOL3,0.019911764378667977
blue,CRE_T1,CLASP2,-0.3737673908494598
blue,CRE_T1,COBL,-0.19796449620055703
blue,CRE_T1,CAND2,0.3172925695790144
blue,CRE_T1,RTN2,0.16991384636565246
blue,CRE_T1,VPS4B,0.2686254188644866
blue,CRE_T1,FLNB,0.2947941181258611
blue,CRE_T1,BANF1,0.14502760178961654
blue,CRE_T1,CSDE1,0.2057786600965022
blue,CRE_T1,PRKRA,0.16798064362959922
blue,CRE_T1,LYPLA1,0.12381608515426833
blue,CRE_T1,PPM1B,0.31520551783925627
