uniprot_id,gene,protein,description
Q9H2J4,PDCL3,PDCL3_HUMAN,Phosducin-like protein 3
Q9H2U2,PPA2,IPYR2_HUMAN,"Inorganic pyrophosphatase 2, mitochondrial"
Q9H2W6,MRPL46,RM46_HUMAN,"39S ribosomal protein L46, mitochondrial"
Q9H3H3,C11orf68,CK068_HUMAN,UPF0696 protein C11orf68
Q9H3K2,GHITM,GHITM_HUMAN,Growth hormone-inducible transmembrane protein
Q9H3K6,BOLA2,BOLA2_HUMAN,BolA-like protein 2
Q9H3N1,TMX1,TMX1_HUMAN,Thioredoxin-related transmembrane protein 1
Q9H3P7,ACBD3,GCP60_HUMAN,Golgi resident protein GCP60
Q9H444,CHMP4B,CHM4B_HUMAN,Charged multivesicular body protein 4b
Q9H446,RWDD1,RWDD1_HUMAN,RWD domain-containing protein 1
Q9H477,RBKS,RBSK_HUMAN,Ribokinase
Q9H479,FN3K,FN3K_HUMAN,Fructosamine-3-kinase
Q9H488,POFUT1,OFUT1_HUMAN,GDP-fucose protein O-fucosyltransferase 1
Q9H4A4,RNPEP,AMPB_HUMAN,Aminopeptidase B
Q9H4G4,GLIPR2,GAPR1_HUMAN,Golgi-associated plant pathogenesis-related protein 1
Q9H4I9,SMDT1,EMRE_HUMAN,"Essential MCU regulator, mitochondrial"
Q9H4M9,EHD1,EHD1_HUMAN,EH domain-containing protein 1
Q9H6F2,TMEM38A,TM38A_HUMAN,Trimeric intracellular cation channel type A
Q9H6K4,OPA3,OPA3_HUMAN,Optic atrophy 3 protein
Q9H773,DCTPP1,DCTP1_HUMAN,dCTP pyrophosphatase 1
Q9H7C4,SYNC,SYNCI_HUMAN,Syncoilin
Q9H7C9,AAMDC,AAMDC_HUMAN,Mth938 domain-containing protein
Q9H7Z7,PTGES2,PGES2_HUMAN,Prostaglandin E synthase 2
Q9H845,ACAD9,ACAD9_HUMAN,"Complex I assembly factor ACAD9, mitochondrial"
Q9H8H3,METTL7A,MET7A_HUMAN,Methyltransferase-like protein 7A
Q9H8M1,COQ10B,CQ10B_HUMAN,"Coenzyme Q-binding protein COQ10 homolog B, mitochondrial"
Q9H8M7,MINDY3,MINY3_HUMAN,Ubiquitin carboxyl-terminal hydrolase MINDY-3
Q9H8S9,MOB1A,MOB1A_HUMAN,MOB kinase activator 1A
Q9H8Y8,GORASP2,GORS2_HUMAN,Golgi reassembly-stacking protein 2
Q9H910,JPT2,JUPI2_HUMAN,Jupiter microtubule associated homolog 2
Q9H987,SYNPO2L,SYP2L_HUMAN,Synaptopodin 2-like protein
Q9H993,ARMT1,ARMT1_HUMAN,Damage-control phosphatase ARMT1
Q9H9A6,LRRC40,LRC40_HUMAN,Leucine-rich repeat-containing protein 40
Q9H9B4,SFXN1,SFXN1_HUMAN,Sideroflexin-1
Q9H9P8,L2HGDH,L2HDH_HUMAN,"L-2-hydroxyglutarate dehydrogenase, mitochondrial"
Q9H9S4,CAB39L,CB39L_HUMAN,Calcium-binding protein 39-like
Q9HA64,FN3KRP,KT3K_HUMAN,Ketosamine-3-kinase
Q9HA65,TBC1D17,TBC17_HUMAN,TBC1 domain family member 17
