sample_id,subject,group,group_time,time,supplement,module,eigengene
CR6_T1,CR6,CR_PLA,PLA_T1,T1,PLA,turquoise,-0.08838206724818692
CR6_T2,CR6,CR_PLA,PLA_T2,T2,PLA,turquoise,0.003347477899190987
CR7_T1,CR7,CR_PLA,PLA_T1,T1,PLA,turquoise,0.30340968101402077
CR7_T2,CR7,CR_PLA,PLA_T2,T2,PLA,turquoise,-0.057735258688506895
CR8_T1,CR8,CR_CRE,CRE_T1,T1,CRE,turquoise,-0.09959945066194163
CR8_T2,CR8,CR_CRE,CRE_T2,T2,CRE,turquoise,-0.12759288458946036
CR9_T2,CR9,CR_CRE,CRE_T2,T2,CRE,turquoise,0.38807773532810214
CR10_T2,CR10,CR_CRE,CRE_T2,T2,CRE,turquoise,0.032885653294894485
CR12_T1,CR12,CR_CRE,CRE_T1,T1,CRE,turquoise,-0.02264913765743241
CR12_T2,CR12,CR_CRE,CRE_T2,T2,CRE,turquoise,0.07143416909961045
CR15_T1,CR15,CR_PLA,PLA_T1,T1,PLA,turquoise,0.3764866608041636
CR17_T1,CR17,CR_PLA,PLA_T1,T1,PLA,turquoise,-0.06234821315694621
CR17_T2,CR17,CR_PLA,PLA_T2,T2,PLA,turquoise,0.027725312340011566
CR18_T1,CR18,CR_PLA,PLA_T1,T1,PLA,turquoise,-0.10473646941060102
CR18_T2,CR18,CR_PLA,PLA_T2,T2,PLA,turquoise,-0.043682140600009536
CR22_T1,CR22,CR_CRE,CRE_T1,T1,CRE,turquoise,0.15075414183437158
CR22_T2,CR22,CR_CRE,CRE_T2,T2,CRE,turquoise,0.03848000146036322
CR23_T1,CR23,CR_PLA,PLA_T1,T1,PLA,turquoise,0.37108806907761027
CR25_T1,CR25,CR_CRE,CRE_T1,T1,CRE,turquoise,0.0982272762856234
CR25_T2,CR25,CR_CRE,CRE_T2,T2,CRE,turquoise,0.12835516905567942
CR72_T1,CR72,CR_CRE,CRE_T1,T1,CRE,turquoise,4.971791378536268e-4
CR72_T2,CR72,CR_CRE,CRE_T2,T2,CRE,turquoise,0.26408086776453815
CR149_T1,CR149,CR_PLA,PLA_T1,T1,PLA,turquoise,-0.013362116058378969
CR149_T2,CR149,CR_PLA,PLA_T2,T2,PLA,turquoise,0.05065587578040247
CR163_T1,CR163,CR_CRE,CRE_T1,T1,CRE,turquoise,-0.14227817813447916
CR163_T2,CR163,CR_CRE,CRE_T2,T2,CRE,turquoise,-0.12955829941666566
CR383_T1,CR383,CR_CRE,CRE_T1,T1,CRE,turquoise,-0.09785555806409242
CR386_T2,CR386,CR_PLA,PLA_T2,T2,PLA,turquoise,0.15701188952228604
PPS2,PPS2,PPS,H_T1,T1,NA,turquoise,-0.11282792415026338
PPS20,PPS20,PPS,H_T1,T1,NA,turquoise,-0.1057201411870551
PPS28,PPS28,PPS,H_T1,T1,NA,turquoise,-0.15432810261443938
PPS31,PPS31,PPS,H_T1,T1,NA,turquoise,-0.17101591167406688
PPS32,PPS32,PPS,H_T1,T1,NA,turquoise,-0.168360642288416
PPS37,PPS37,PPS,H_T1,T1,NA,turquoise,-0.14956280794530089
PPS40,PPS40,PPS,H_T1,T1,NA,turquoise,-0.17862113793797302
PPS41,PPS41,PPS,H_T1,T1,NA,turquoise,-0.13342245795167085
PPS42,PPS42,PPS,H_T1,T1,NA,turquoise,-0.15879381491322975
PPS44,PPS44,PPS,H_T1,T1,NA,turquoise,-0.14008444534960626
CR6_T1,CR6,CR_PLA,PLA_T1,T1,PLA,yellow,-0.04033896202344141
CR6_T2,CR6,CR_PLA,PLA_T2,T2,PLA,yellow,0.047751437358296456
CR7_T1,CR7,CR_PLA,PLA_T1,T1,PLA,yellow,0.196261738324744
CR7_T2,CR7,CR_PLA,PLA_T2,T2,PLA,yellow,0.06682290405825383
CR8_T1,CR8,CR_CRE,CRE_T1,T1,CRE,yellow,-0.08097076555012177
CR8_T2,CR8,CR_CRE,CRE_T2,T2,CRE,yellow,-0.1331822092221106
CR9_T2,CR9,CR_CRE,CRE_T2,T2,CRE,yellow,0.2893542039351373
CR10_T2,CR10,CR_CRE,CRE_T2,T2,CRE,yellow,-0.083114529452471
CR12_T1,CR12,CR_CRE,CRE_T1,T1,CRE,yellow,-0.042397941364204
CR12_T2,CR12,CR_CRE,CRE_T2,T2,CRE,yellow,-0.012495545694314915
CR15_T1,CR15,CR_PLA,PLA_T1,T1,PLA,yellow,0.06203427524134856
CR17_T1,CR17,CR_PLA,PLA_T1,T1,PLA,yellow,0.07574875909067122
CR17_T2,CR17,CR_PLA,PLA_T2,T2,PLA,yellow,-0.017960299763773724
CR18_T1,CR18,CR_PLA,PLA_T1,T1,PLA,yellow,-0.07000558569697872
CR18_T2,CR18,CR_PLA,PLA_T2,T2,PLA,yellow,0.18699578293034713
CR22_T1,CR22,CR_CRE,CRE_T1,T1,CRE,yellow,0.350356884786963
CR22_T2,CR22,CR_CRE,CRE_T2,T2,CRE,yellow,0.15888333751032768
CR23_T1,CR23,CR_PLA,PLA_T1,T1,PLA,yellow,0.17798584093013356
CR25_T1,CR25,CR_CRE,CRE_T1,T1,CRE,yellow,0.2773544455346447
CR25_T2,CR25,CR_CRE,CRE_T2,T2,CRE,yellow,-0.043733337809791765
CR72_T1,CR72,CR_CRE,CRE_T1,T1,CRE,yellow,0.02543731332758522
CR72_T2,CR72,CR_CRE,CRE_T2,T2,CRE,yellow,0.25981907250693037
CR149_T1,CR149,CR_PLA,PLA_T1,T1,PLA,yellow,0.2944940442995058
CR149_T2,CR149,CR_PLA,PLA_T2,T2,PLA,yellow,-0.05970783253166951
CR163_T1,CR163,CR_CRE,CRE_T1,T1,CRE,yellow,-0.07512996567667896
CR163_T2,CR163,CR_CRE,CRE_T2,T2,CRE,yellow,-0.05375061442719356
CR383_T1,CR383,CR_CRE,CRE_T1,T1,CRE,yellow,-0.1329648416226581
CR386_T2,CR386,CR_PLA,PLA_T2,T2,PLA,yellow,0.1260050314831834
PPS2,PPS2,PPS,H_T1,T1,NA,yellow,-0.10909271070922842
PPS20,PPS20,PPS,H_T1,T1,NA,yellow,-0.14399001875684372
PPS28,PPS28,PPS,H_T1,T1,NA,yellow,-0.19396812020328122
PPS31,PPS31,PPS,H_T1,T1,NA,yellow,-0.2019512896259304
PPS32,PPS32,PPS,H_T1,T1,NA,yellow,-0.22908111088320263
PPS37,PPS37,PPS,H_T1,T1,NA,yellow,-0.20051283152210575
PPS40,PPS40,PPS,H_T1,T1,NA,yellow,-0.20890062383471258
PPS41,PPS41,PPS,H_T1,T1,NA,yellow,-0.07764898529699885
PPS42,PPS42,PPS,H_T1,T1,NA,yellow,-0.18429651430965263
PPS44,PPS44,PPS,H_T1,T1,NA,yellow,-0.20011043534070125
CR6_T1,CR6,CR_PLA,PLA_T1,T1,PLA,green,-0.03189865957001457
CR6_T2,CR6,CR_PLA,PLA_T2,T2,PLA,green,0.605845326079112
CR7_T1,CR7,CR_PLA,PLA_T1,T1,PLA,green,-0.10887458012590012
CR7_T2,CR7,CR_PLA,PLA_T2,T2,PLA,green,0.04059645580837704
