uniprot_id,module_color,module_num,gene
A0AVT1,blue,2,UBA6
A0FGR8,turquoise,1,ESYT2
A1L0T0,brown,3,ILVBL
A2RTX5,grey,0,TARS3
A5D6W6,blue,2,FITM1
A5D8V6,grey,0,VPS37C
A5YM72,grey,0,CARNS1
A6NCE7,blue,2,MAP1LC3B2
A6NDG6,blue,2,PGP
A6NHX0,blue,2,CASTOR2
A6NNS2,blue,2,DHRS7C
A8MU46,blue,2,SMTNL1
A8MXV4,brown,3,NUDT19
E9PAV3,blue,2,NACA
L0R6Q1,blue,2,SLC35A4
O00151,grey,0,PDLIM1
O00159,turquoise,1,MYO1C
O00161,yellow,4,SNAP23
O00168,blue,2,FXYD1
O00186,blue,2,STXBP3
O00203,turquoise,1,AP3B1
O00217,brown,3,NDUFS8
O00231,blue,2,PSMD11
O00232,blue,2,PSMD12
O00233,yellow,4,PSMD9
O00264,turquoise,1,PGRMC1
O00299,turquoise,1,CLIC1
O00303,grey,0,EIF3F
O00330,brown,3,PDHX
O00410,blue,2,IPO5
O00418,turquoise,1,EEF2K
O00423,blue,2,EML1
O00429,brown,3,DNM1L
O00442,blue,2,RTCA
O00483,brown,3,NDUFA4
O00487,grey,0,PSMD14
O00499,blue,2,BIN1
O00505,blue,2,KPNA3
O00560,turquoise,1,SDCBP
O00571,grey,0,DDX3X
O00629,blue,2,KPNA4
O00748,blue,2,CES2
O00757,blue,2,FBP2
O00763,turquoise,1,ACACB
O00764,turquoise,1,PDXK
O14498,turquoise,1,ISLR
O14521,brown,3,SDHD
O14558,blue,2,HSPB6
O14561,brown,3,NDUFAB1
O14562,grey,0,UBFD1
O14579,turquoise,1,COPE
O14618,yellow,4,CCS
O14653,blue,2,GOSR2
O14672,turquoise,1,ADAM10
O14732,blue,2,IMPA2
O14735,grey,0,CDIPT
O14737,blue,2,PDCD5
O14744,blue,2,PRMT5
O14773,turquoise,1,TPP1
O14786,grey,0,NRP1
O14791,yellow,4,APOL1
O14818,turquoise,1,PSMA7
O14828,grey,0,SCAMP3
O14841,brown,3,OPLAH
O14874,brown,3,BCKDK
O14880,blue,2,MGST3
O14949,brown,3,UQCRQ
O14950,turquoise,1,MYL12B
O14957,brown,3,UQCR11
O14958,blue,2,CASQ2
O14964,turquoise,1,HGS
O14979,grey,0,HNRNPDL
O14980,brown,3,XPO1
O14983,blue,2,ATP2A1
O15061,green,5,SYNM
O15067,yellow,4,PFAS
