module,model,contrast,estimate,SE,df,t_ratio,p_raw,r_equiv,singular,p_bh
MEgreen,CRvH,Cancer_vs_Healthy,0.25343,0.05171,34,4.9009,2.308775174309557e-5,0.6434,FALSE,1.8470201394476455e-4
MEgreen,CRvH,Training_CR,-0.01774,0.04756,15.58,-0.3731,0.7141130938824738,-0.0941,FALSE,0.8479499944490253
MEred,CRvH,Cancer_vs_Healthy,0.08634,0.06745,33.91,1.2801,0.20920478192768965,0.2147,FALSE,0.33472765108430347
MEred,CRvH,Training_CR,0.0079,0.06036,15.06,0.1308,0.8976464047798473,0.0337,FALSE,0.945858022702829
MEblue,CRvH,Cancer_vs_Healthy,0.20818,0.05444,32.7,3.8237,5.592300331476316e-4,0.5559,FALSE,0.0029825601767873686
MEblue,CRvH,Training_CR,-0.01453,0.04323,13.4,-0.3362,0.7419562451428972,-0.0914,FALSE,0.8479499944490253
MEyellow,CRvH,Cancer_vs_Healthy,0.356,0.01601,31.48,22.2344,8.255707939304053e-21,0.9696,FALSE,1.3209132702886484e-19
MEyellow,CRvH,Training_CR,8e-4,0.01161,12.59,0.0693,0.945858022702829,0.0195,FALSE,0.945858022702829
MEblack,CRvH,Cancer_vs_Healthy,-0.03924,0.06684,33.96,-0.587,0.561060520220644,-0.1002,FALSE,0.7480806936275253
MEblack,CRvH,Training_CR,0.08973,0.06057,15.29,1.4814,0.15881118533246041,0.3543,FALSE,0.333219121610145
MEbrown,CRvH,Cancer_vs_Healthy,-0.1424,0.06131,31.74,-2.3226,0.02677310562232856,-0.3812,FALSE,0.07139494832620949
MEbrown,CRvH,Training_CR,0.0626,0.04534,12.74,1.3807,0.19109875713967212,0.3607,FALSE,0.33472765108430347
MEturquoise,CRvH,Cancer_vs_Healthy,-0.16631,0.05732,33.86,-2.9013,0.006487387429953516,-0.4462,FALSE,0.020759639775851255
MEturquoise,CRvH,Training_CR,0.05061,0.05083,14.9,0.9957,0.33530720894250765,0.2498,FALSE,0.4877195766436475
MEgrey,CRvH,Cancer_vs_Healthy,0.07848,0.05551,33.62,1.4138,0.1666095608050725,0.2369,FALSE,0.333219121610145
MEgrey,CRvH,Training_CR,-0.19871,0.04773,14.41,-4.1633,9.027114524456413e-4,-0.739,FALSE,0.0036108458097825653
