quadrant,gene
Exacerbated Up,ABLIM2
Reversed (Cancer Up),GNAI3
Reversed (Cancer Up),LXN
Reversed (Cancer Up),CAT
Reversed (Cancer Up),ACAT2
Reversed (Cancer Up),RBP4
Reversed (Cancer Up),ANK1
Reversed (Cancer Up),STOM
Reversed (Cancer Up),BPGM
Reversed (Cancer Up),ATL3
Reversed (Cancer Up),S100A9
Reversed (Cancer Up),NME1
Reversed (Cancer Up),UROD
Reversed (Cancer Up),HPRT1
Reversed (Cancer Up),EPB41
Reversed (Cancer Up),DEFA3
Reversed (Cancer Up),ALAD
Reversed (Cancer Up),SOD1
Reversed (Cancer Up),SPTB
Reversed (Cancer Up),TUBB2B
Reversed (Cancer Up),GPX3
Reversed (Cancer Up),CAND1
Reversed (Cancer Up),PITHD1
Reversed (Cancer Up),SOD3
Reversed (Cancer Up),DDX19B
Reversed (Cancer Up),CTTN
Reversed (Cancer Up),FAH
Reversed (Cancer Up),SRI
Reversed (Cancer Up),AOC3
Reversed (Cancer Up),BLVRB
Reversed (Cancer Up),PYGL
Reversed (Cancer Up),TMEM256
Reversed (Cancer Up),NUTF2
Reversed (Cancer Up),ARF1
Reversed (Cancer Up),ATP6V1H
Reversed (Cancer Up),CAVIN2
Reversed (Cancer Up),S100A8
Reversed (Cancer Up),HBG2
Reversed (Cancer Up),LGALS1
Reversed (Cancer Up),PLIN1
Reversed (Cancer Up),CA2
Reversed (Cancer Up),RAN
Reversed (Cancer Up),PTPA
Reversed (Cancer Up),FLOT2
Reversed (Cancer Up),GCLC
Reversed (Cancer Up),ABHD14B
Reversed (Cancer Up),CD81
Reversed (Cancer Up),PAFAH1B2
Reversed (Cancer Up),DDT
Reversed (Cancer Up),HEBP1
Reversed (Cancer Up),PGD
Reversed (Cancer Up),FBN1
Reversed (Cancer Up),CCS
Reversed (Cancer Up),PRDX2
Reversed (Cancer Up),EHD2
Reversed (Cancer Up),GNB1
Reversed (Cancer Up),COL6A2
Reversed (Cancer Up),EHD1
Reversed (Cancer Up),DYNC1LI2
Reversed (Cancer Up),PDXK
Reversed (Cancer Up),ARRB1
Reversed (Cancer Up),GNAS
Reversed (Cancer Up),HNRNPA1
Reversed (Cancer Up),SELENBP1
Reversed (Cancer Up),PSMD5
Reversed (Cancer Up),MYO1C
Reversed (Cancer Up),TNS1
Reversed (Cancer Up),CAV1
Reversed (Cancer Up),GGT5
Reversed (Cancer Up),GUK1
Reversed (Cancer Up),CAVIN1
Reversed (Cancer Up),ADH1C
Reversed (Cancer Up),TNKS1BP1
Reversed (Cancer Up),SORD
Reversed (Cancer Up),TUBB4A
Reversed (Cancer Up),MCAM
Reversed (Cancer Up),CYFIP1
Reversed (Cancer Up),ITGA1
Reversed (Cancer Up),PACSIN2
Reversed (Cancer Up),CMPK1
Reversed (Cancer Up),ACADL
Reversed (Cancer Up),AKR1C2
Reversed (Cancer Up),GSS
Reversed (Cancer Up),IFITM1
Reversed (Cancer Up),RETSAT
Reversed (Cancer Up),PSME2
Reversed (Cancer Up),TALDO1
Reversed (Cancer Up),CTSD
Reversed (Cancer Up),GPD1
Reversed (Cancer Up),DCUN1D1
Reversed (Cancer Up),LYZ
Reversed (Cancer Up),RRAS
Reversed (Cancer Up),EIF4B
Reversed (Cancer Up),ATIC
Reversed (Cancer Up),PGAM1
Reversed (Cancer Up),EIPR1
Reversed (Cancer Up),TXN
Reversed (Cancer Up),PLIN4
Reversed (Cancer Up),MPST
Reversed (Cancer Up),EIF6
Reversed (Cancer Up),PA2G4
Reversed (Cancer Up),ELAVL1
Reversed (Cancer Up),GNB2
Reversed (Cancer Up),HNRNPK
Reversed (Cancer Up),PTPN11
Reversed (Cancer Up),ADH1B
Reversed (Cancer Up),DBI
Reversed (Cancer Up),UBA5
Reversed (Cancer Up),VPS29
Reversed (Cancer Up),SDCBP
Reversed (Cancer Up),RHOA
Reversed (Cancer Up),IDH1
Reversed (Cancer Up),ACO1
Reversed (Cancer Up),ADIRF
Reversed (Cancer Up),KDSR
Reversed (Cancer Up),PAFAH1B3
Reversed (Cancer Up),CD36
Reversed (Cancer Up),UFM1
Reversed (Cancer Up),CTNNA1
Reversed (Cancer Up),ESYT1
Reversed (Cancer Up),SAMHD1
Reversed (Cancer Up),CFL1
Reversed (Cancer Up),HNRNPF
Reversed (Cancer Up),HINT1
Reversed (Cancer Up),PSMB3
Reversed (Cancer Up),RSU1
Reversed (Cancer Up),ITGB1
Reversed (Cancer Up),USP14
Reversed (Cancer Up),SORBS1
Reversed (Cancer Up),USP5
Reversed (Cancer Up),SEPTIN10
Reversed (Cancer Up),RPL23
Reversed (Cancer Up),PGK1
Reversed (Cancer Up),HMGB1
Reversed (Cancer Up),APEH
Reversed (Cancer Up),PSMF1
Reversed (Cancer Up),G6PD
Reversed (Cancer Up),GLOD4
