pathway,pval,padj,foldEnrichment,overlap,size,overlapGenes,database,odds_ratio,quadrant,pathway_label
HALLMARK_XENOBIOTIC_METABOLISM,2.5487500591379725e-9,9.430375218810498e-8,3.1746031746031744,28,63,,Hallmark,5.278405315614618,Reversed (Cancer Up),Xenobiotic Metabolism
GOBP_RESPONSE_TO_TOXIC_SUBSTANCE,9.090593436185719e-8,1.0090558714166149e-4,2.7777777777777777,28,72,,GO:BP,4.179704016913319,Reversed (Cancer Up),Response To Toxic Substance
HALLMARK_HEME_METABOLISM,2.4377061286630258e-5,4.5097563380265977e-4,2.455357142857143,22,64,,Hallmark,3.376609275632077,Reversed (Cancer Up),Heme Metabolism
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,5.492328776336402e-4,0.006773872157481563,2.91005291005291,11,27,,Hallmark,4.334709119496855,Reversed (Cancer Up),Reactive Oxygen Species Pathway
REACTOME_BIOLOGICAL_OXIDATIONS,2.7458042903501204e-5,0.009308276544286908,2.5,21,60,,Reactome,3.465034965034965,Reversed (Cancer Up),Biological Oxidations
REACTOME_NEUTROPHIL_DEGRANULATION,1.9997816169227444e-4,0.03389629840684052,1.6717325227963524,44,188,,Reactome,2.0123781676413257,Reversed (Cancer Up),Neutrophil Degranulation
REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS,3.7120345752629107e-4,0.04194599070047089,3.021978021978022,11,26,,Reactome,4.625995807127882,Reversed (Cancer Up),Phase I Functionalization Of Compounds
HALLMARK_OXIDATIVE_PHOSPHORYLATION,2.1059830805713347e-19,7.792137398113939e-18,2.656315069308109,76,156,,Hallmark,4.921267605633803,Reversed (Cancer Down),OXPHOS
GOBP_ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS,8.528314108906275e-19,9.466428660885965e-16,2.4977640669354106,82,179,,GO:BP,4.413316397365079,Reversed (Cancer Down),Energy Derivation By Oxidation Of Organic Compounds
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT,1.047785247235369e-17,3.551991988127901e-15,2.5399547491749654,75,161,,Reactome,4.490299189966031,Reversed (Cancer Down),Aerobic Respiration And Respiratory Electron Transport
GOBP_PROTON_TRANSMEMBRANE_TRANSPORT,2.1615953467834006e-13,4.798741669859149e-11,2.8865838678859017,45,85,,GO:BP,5.476360103626943,Reversed (Cancer Down),Proton Transmembrane Transport
REACTOME_MITOCHONDRIAL_PROTEIN_DEGRADATION,6.816568122715926e-13,1.1554082968003494e-10,2.935927181866857,42,78,,Reactome,5.6473864610111395,Reversed (Cancer Down),Mitochondrial Protein Degradation
GOBP_OXIDATIVE_PHOSPHORYLATION,6.1426241628675e-12,1.1363854701304875e-9,2.5912568054949343,48,101,,GO:BP,4.412434110054683,Reversed (Cancer Down),OXPHOS
GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS,9.48316284247408e-12,1.5037586793066044e-9,3.1420818750245783,34,59,,GO:BP,6.488261964735516,Reversed (Cancer Down),Proton Motive Force Driven ATP Synthesis
KEGG_MEDICUS_REFERENCE_MITOCHONDRIAL_COMPLEX_UCP1_IN_THERMOGENESIS,5.700353839704953e-9,3.990247687793467e-8,3.0044036175955298,27,49,,KEGG,5.762713771377138,Reversed (Cancer Down),Reference Mitochondrial Complex Ucp1 In Thermogenesis
GOBP_ATP_METABOLIC_PROCESS,1.1861410974220283e-9,1.462907353487168e-7,2.2530728078080955,50,121,,GO:BP,3.415770211822114,Reversed (Cancer Down),ATP Metabolic Process
REACTOME_CRISTAE_FORMATION,5.461102986312621e-9,4.628284780899946e-7,3.925754060324826,18,25,,Reactome,11.904531304047042,Reversed (Cancer Down),Cristae Formation
REACTOME_MITOCHONDRIAL_BIOGENESIS,8.16452137181825e-9,5.535545490092773e-7,3.191669967743761,24,41,,Reactome,6.59748518572048,Reversed (Cancer Down),Mitochondrial Biogenesis
KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_I,1.650297388468001e-7,5.776040859638003e-7,2.998839907192575,22,40,,KEGG,5.6807932627003535,Reversed (Cancer Down),Reference Electron Transfer In Complex I
GOBP_TRICARBOXYLIC_ACID_CYCLE,5.776588746607666e-8,4.580009649096078e-6,3.7076566125290022,17,25,,GO:BP,9.808876811594203,Reversed (Cancer Down),Tricarboxylic Acid Cycle
REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE,2.2154666176912217e-7,1.2517386389955403e-5,3.634957463263728,16,24,,Reactome,9.209638554216868,Reversed (Cancer Down),Citric Acid Cycle Tca Cycle
GOBP_PURINE_NUCLEOTIDE_BIOSYNTHETIC_PROCESS,3.802594146408179e-7,2.8139196683420523e-5,2.1809744779582365,38,95,,GO:BP,3.1586089906700594,Reversed (Cancer Down),Purine Nucleotide Biosynthetic Process
GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE,1.5434988672092624e-6,9.518243014457118e-5,2.792711221775791,21,41,,GO:BP,4.863292682926829,Reversed (Cancer Down),Mitochondrial Electron Transport NADH To Ubiquinone
REACTOME_COMPLEX_I_BIOGENESIS,2.183403617238387e-6,1.0573911803483046e-4,2.6126256767208043,23,48,,Reactome,4.27078431372549,Reversed (Cancer Down),Complex I Biogenesis
REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION,6.510072620666372e-6,2.758643273007375e-4,3.3188742055886213,14,23,,Reactome,7.124966693312017,Reversed (Cancer Down),Cytosolic Trna Aminoacylation
REACTOME_TRANSLATION,2.175978669088309e-5,8.19618632023263e-4,1.6899363644998031,53,171,,Reactome,2.1400098645861356,Reversed (Cancer Down),Translation
GOBP_NUCLEOTIDE_METABOLIC_PROCESS,1.641598151910356e-5,8.282608857365887e-4,1.6252454042477245,62,208,,GO:BP,2.0404276645506183,Reversed (Cancer Down),Nucleotide Metabolic Process
GOBP_MITOCHONDRION_ORGANIZATION,1.9510814255427388e-5,9.416088618923652e-4,1.716507690985649,51,162,,GO:BP,2.186059743954481,Reversed (Cancer Down),Mitochondrion Organization
REACTOME_ORGANELLE_BIOGENESIS_AND_MAINTENANCE,1.0864248617621412e-4,0.003069150234478049,1.982704070871124,28,77,,Reactome,2.651542006380716,Reversed (Cancer Down),Organelle Biogenesis And Maintenance
GOBP_LIPID_MODIFICATION,1.2611937692003046e-4,0.005743098199704495,2.27184841453983,20,48,,GO:BP,3.286409454292666,Reversed (Cancer Down),Lipid Modification
