quadrant,label,max_overlap
UU,Concordant Up,17.56501976775986
UD,Discordant (CRE Up / PLA Down),1.7802912780990743
DU,Discordant (CRE Down / PLA Up),1.641805877587184
DD,Concordant Down,18.089954680967825
