contrast,value
Cancer_vs_Healthy,0.00600673570082567
Cancer_vs_Healthy,0.89017662629745
Cancer_vs_Healthy,0.0954676246777185
Cancer_vs_Healthy,0.704528288019862
Cancer_vs_Healthy,0.771355552793258
Cancer_vs_Healthy,0.0982854293521975
Cancer_vs_Healthy,8.7698762790494e-4
Cancer_vs_Healthy,0.00625945917451541
Cancer_vs_Healthy,0.024076888498667
Cancer_vs_Healthy,0.676120864465124
Cancer_vs_Healthy,0.00279957053316604
Cancer_vs_Healthy,0.0489119745431158
Cancer_vs_Healthy,0.356160927710392
Cancer_vs_Healthy,0.0171824677334065
Cancer_vs_Healthy,0.305557031027563
Cancer_vs_Healthy,0.0513393130069578
Cancer_vs_Healthy,5.585189300288e-4
Cancer_vs_Healthy,0.69657075481321
Cancer_vs_Healthy,0.0126460964800029
Cancer_vs_Healthy,0.866788285295794
Cancer_vs_Healthy,0.532203905319987
Cancer_vs_Healthy,0.0777111492162822
Cancer_vs_Healthy,0.275563194143547
Cancer_vs_Healthy,0.700217621102465
Cancer_vs_Healthy,0.792672104779635
Cancer_vs_Healthy,0.415195066272556
Cancer_vs_Healthy,0.0600017884393766
Cancer_vs_Healthy,6.8228718751411e-4
Cancer_vs_Healthy,0.266780532800348
Cancer_vs_Healthy,0.0917567749310157
Cancer_vs_Healthy,0.0835950657072987
Cancer_vs_Healthy,0.82514123933026
Cancer_vs_Healthy,0.915728088861959
Cancer_vs_Healthy,0.0668946574548501
Cancer_vs_Healthy,0.536768275023278
Cancer_vs_Healthy,0.396720348414764
Cancer_vs_Healthy,0.599346698515803
Cancer_vs_Healthy,0.462644548469577
Cancer_vs_Healthy,0.667323933469149
Cancer_vs_Healthy,0.154990841991489
Cancer_vs_Healthy,0.341848605144958
Cancer_vs_Healthy,0.0820294538211694
Cancer_vs_Healthy,0.257596055216369
Cancer_vs_Healthy,0.0013855170503038
Cancer_vs_Healthy,0.496877779291155
Cancer_vs_Healthy,0.00394816156347788
Cancer_vs_Healthy,0.0657003067194389
Cancer_vs_Healthy,0.254017178163717
Cancer_vs_Healthy,0.292540000696945
Cancer_vs_Healthy,0.397713754695181
Cancer_vs_Healthy,4.36945464286415e-6
Cancer_vs_Healthy,0.00923894221739812
Cancer_vs_Healthy,0.013389762992677
Cancer_vs_Healthy,0.174000315538944
Cancer_vs_Healthy,0.33183060950864
Cancer_vs_Healthy,0.431777377383805
Cancer_vs_Healthy,0.0333369657786861
Cancer_vs_Healthy,0.0156254961267658
Cancer_vs_Healthy,0.013982899209708
Cancer_vs_Healthy,0.00905558494311271
Cancer_vs_Healthy,0.441297565884876
Cancer_vs_Healthy,0.860187488216484
Cancer_vs_Healthy,0.610505971809445
Cancer_vs_Healthy,0.00142676234427804
Cancer_vs_Healthy,0.0709321565342357
Cancer_vs_Healthy,0.216707041571306
Cancer_vs_Healthy,0.719579681398107
Cancer_vs_Healthy,0.463245138073873
Cancer_vs_Healthy,0.533028380870217
Cancer_vs_Healthy,0.0752172873005956
Cancer_vs_Healthy,6.5398950749226e-4
Cancer_vs_Healthy,4.67808853257894e-5
Cancer_vs_Healthy,0.857974112449381
Cancer_vs_Healthy,0.106519446820999
Cancer_vs_Healthy,0.00255487070875275
Cancer_vs_Healthy,0.857015652980603
Cancer_vs_Healthy,4.29747106430532e-5
Cancer_vs_Healthy,0.0179574886282949
Cancer_vs_Healthy,0.0154835539469772
Cancer_vs_Healthy,4.7213906075996e-4
Cancer_vs_Healthy,0.181802696523631
Cancer_vs_Healthy,0.0356314090749573
Cancer_vs_Healthy,0.00299509841114836
Cancer_vs_Healthy,0.191049024461964
Cancer_vs_Healthy,0.0623223151029408
Cancer_vs_Healthy,7.78508019714702e-5
Cancer_vs_Healthy,4.1774305453185e-4
Cancer_vs_Healthy,0.0283168895745508
Cancer_vs_Healthy,0.0946666043718256
Cancer_vs_Healthy,0.365829721666147
Cancer_vs_Healthy,0.345408088716278
Cancer_vs_Healthy,0.0557687657975096
Cancer_vs_Healthy,0.0130156125243699
Cancer_vs_Healthy,0.327601033278117
Cancer_vs_Healthy,0.41919457161754
Cancer_vs_Healthy,3.820638568542e-4
Cancer_vs_Healthy,0.708852101640049
Cancer_vs_Healthy,0.0547492037020974
Cancer_vs_Healthy,0.216141442419433
Cancer_vs_Healthy,0.944888080208785
Cancer_vs_Healthy,0.264268487882927
Cancer_vs_Healthy,0.771973214247833
Cancer_vs_Healthy,1.72204246070462e-5
Cancer_vs_Healthy,0.743727695597027
Cancer_vs_Healthy,0.0244132053144628
Cancer_vs_Healthy,0.106065402704218
Cancer_vs_Healthy,0.492323407455674
Cancer_vs_Healthy,0.026869665560897
Cancer_vs_Healthy,0.0018019455365001
Cancer_vs_Healthy,0.440602488129036
Cancer_vs_Healthy,0.361627544426554
Cancer_vs_Healthy,0.00430668411703299
Cancer_vs_Healthy,0.760599811879147
Cancer_vs_Healthy,0.00530537966170082
Cancer_vs_Healthy,0.0769789066543184
Cancer_vs_Healthy,6.0163243528936e-4
Cancer_vs_Healthy,0.0982616157475618
Cancer_vs_Healthy,1.35805038656902e-5
Cancer_vs_Healthy,0.147585479463936
Cancer_vs_Healthy,0.0899970204235349
Cancer_vs_Healthy,0.0963116425465887
Cancer_vs_Healthy,0.326973247643093
Cancer_vs_Healthy,0.0904577103366108
Cancer_vs_Healthy,0.819043743305744
Cancer_vs_Healthy,0.121220065803238
Cancer_vs_Healthy,0.00161997268603174
Cancer_vs_Healthy,0.0784334606369935
Cancer_vs_Healthy,0.274212363274359
Cancer_vs_Healthy,1.9582436039337e-4
Cancer_vs_Healthy,0.554285650406345
Cancer_vs_Healthy,0.812922646507972
Cancer_vs_Healthy,0.272108358938728
Cancer_vs_Healthy,0.763220051406019
Cancer_vs_Healthy,0.858363261994706
Cancer_vs_Healthy,0.27080723919079
Cancer_vs_Healthy,7.7262892056703e-4
Cancer_vs_Healthy,3.17633011293086e-7
Cancer_vs_Healthy,0.00109570308931416
Cancer_vs_Healthy,0.03650281767161
Cancer_vs_Healthy,0.724676359787324
Cancer_vs_Healthy,0.568398060154997
Cancer_vs_Healthy,0.321818661040986
Cancer_vs_Healthy,0.00428881153264891
Cancer_vs_Healthy,0.0146826696319566
Cancer_vs_Healthy,0.474429890250212
Cancer_vs_Healthy,0.582624088466116
Cancer_vs_Healthy,0.305355246703533
Cancer_vs_Healthy,0.158822339194329
Cancer_vs_Healthy,0.139629183227878
Cancer_vs_Healthy,0.00273544387260781
Cancer_vs_Healthy,0.11323625434191
Cancer_vs_Healthy,0.26327723993193197
Cancer_vs_Healthy,0.103300101015422
Cancer_vs_Healthy,0.591829185056409
Cancer_vs_Healthy,0.493945412368853
Cancer_vs_Healthy,0.160761332637127
Cancer_vs_Healthy,0.0439243734655381
Cancer_vs_Healthy,0.339863151736654
Cancer_vs_Healthy,0.803889662583843
Cancer_vs_Healthy,0.178337703298884
Cancer_vs_Healthy,0.622401809553597
Cancer_vs_Healthy,0.147169083715095
Cancer_vs_Healthy,0.0668835560617713
Cancer_vs_Healthy,0.277213242865983
Cancer_vs_Healthy,0.32093919999935
Cancer_vs_Healthy,0.709784654349342
Cancer_vs_Healthy,0.502109031094916
Cancer_vs_Healthy,0.446221290129907
Cancer_vs_Healthy,0.145699026185729
Cancer_vs_Healthy,0.00659948641792065
Cancer_vs_Healthy,5.50880954694068e-5
Cancer_vs_Healthy,0.043679436498958
Cancer_vs_Healthy,0.00140166338365341
Cancer_vs_Healthy,0.0222632005258995
Cancer_vs_Healthy,1.86461498707854e-5
Cancer_vs_Healthy,0.126546891087942
Cancer_vs_Healthy,0.0648210769332718
Cancer_vs_Healthy,0.134875198751526
Cancer_vs_Healthy,0.0214893191005942
Cancer_vs_Healthy,3.25008530664456e-6
Cancer_vs_Healthy,2.6172639584427e-4
Cancer_vs_Healthy,0.0922061668448795
Cancer_vs_Healthy,0.00759259621756161
Cancer_vs_Healthy,0.0199227681572159
Cancer_vs_Healthy,0.0793391676685972
Cancer_vs_Healthy,0.239745401371294
Cancer_vs_Healthy,0.146317010368072
Cancer_vs_Healthy,0.693542564755075
Cancer_vs_Healthy,0.780863470718927
Cancer_vs_Healthy,0.44660824832704
Cancer_vs_Healthy,0.542118301155028
Cancer_vs_Healthy,0.376604790595504
Cancer_vs_Healthy,0.48025736228416
Cancer_vs_Healthy,0.298111535989294
Cancer_vs_Healthy,0.0487772203382074
Cancer_vs_Healthy,3.33007412821085e-7
Cancer_vs_Healthy,0.0124146436800734
Cancer_vs_Healthy,0.546773898342428
Cancer_vs_Healthy,0.186469347990652
Cancer_vs_Healthy,4.76532868939717e-5
Cancer_vs_Healthy,0.1573122503496
Cancer_vs_Healthy,0.734745264482333
Cancer_vs_Healthy,0.684048682621258
Cancer_vs_Healthy,0.589325954858226
Cancer_vs_Healthy,0.0111724266581353
Cancer_vs_Healthy,0.0190721915494168
Cancer_vs_Healthy,0.17854327627084
Cancer_vs_Healthy,0.0523464147760208
Cancer_vs_Healthy,0.00441142624527982
Cancer_vs_Healthy,0.736788207773692
Cancer_vs_Healthy,0.0732279259780157
Cancer_vs_Healthy,0.588135845152425
Cancer_vs_Healthy,7.1055638004236e-4
Cancer_vs_Healthy,0.862847974704984
Cancer_vs_Healthy,0.242788563363328
Cancer_vs_Healthy,0.54773822356502
Cancer_vs_Healthy,0.620017066172159
Cancer_vs_Healthy,0.517450043186303
Cancer_vs_Healthy,0.686673033450088
Cancer_vs_Healthy,0.0140769006907146
Cancer_vs_Healthy,0.149921246592745
Cancer_vs_Healthy,0.048099308359073
Cancer_vs_Healthy,0.490211167621673
Cancer_vs_Healthy,0.00967149808515859
Cancer_vs_Healthy,0.475512959676201
Cancer_vs_Healthy,1.92447538458654e-5
Cancer_vs_Healthy,0.80985893514006
Cancer_vs_Healthy,0.057801453398393
Cancer_vs_Healthy,0.935012759503346
Cancer_vs_Healthy,0.30225757783199
Cancer_vs_Healthy,8.9809006598045e-4
Cancer_vs_Healthy,0.0706535698944336
Cancer_vs_Healthy,2.30681810974604e-5
Cancer_vs_Healthy,0.589526822390143
Cancer_vs_Healthy,0.127919487688186
Cancer_vs_Healthy,0.347597437391097
Cancer_vs_Healthy,0.871114600282388
Cancer_vs_Healthy,0.378367825145136
Cancer_vs_Healthy,0.596253550755935
Cancer_vs_Healthy,8.6684290555481e-4
Cancer_vs_Healthy,0.297548301679032
Cancer_vs_Healthy,0.0077068355826298
Cancer_vs_Healthy,0.866952748423224
Cancer_vs_Healthy,0.429002567278196
Cancer_vs_Healthy,1.09708472159059e-5
Cancer_vs_Healthy,0.00810605242865074
Cancer_vs_Healthy,0.170948121981954
Cancer_vs_Healthy,0.258518295927976
Cancer_vs_Healthy,0.674086887732533
Cancer_vs_Healthy,0.349040275025476
Cancer_vs_Healthy,0.166423008473254
Cancer_vs_Healthy,0.0638862671333921
Cancer_vs_Healthy,0.00928054619202019
Cancer_vs_Healthy,0.435214382980254
Cancer_vs_Healthy,0.129779559627104
Cancer_vs_Healthy,0.0177296107022951
Cancer_vs_Healthy,0.00108218843602059
Cancer_vs_Healthy,0.0159546318348914
Cancer_vs_Healthy,0.00831631628912187
Cancer_vs_Healthy,0.513820814413797
Cancer_vs_Healthy,0.0334549452256986
Cancer_vs_Healthy,0.00103840208625006
Cancer_vs_Healthy,0.816026960053039
Cancer_vs_Healthy,0.0845500952529815
Cancer_vs_Healthy,1.0276694285268e-4
Cancer_vs_Healthy,0.283721586250478
Cancer_vs_Healthy,0.400005431234399
Cancer_vs_Healthy,0.231974883238082
Cancer_vs_Healthy,0.0409817087012489
Cancer_vs_Healthy,0.854275358369157
Cancer_vs_Healthy,0.0865922201533742
Cancer_vs_Healthy,0.529330064873277
Cancer_vs_Healthy,0.807615393466333
Cancer_vs_Healthy,0.0851623739003577
Cancer_vs_Healthy,0.908832324841557
Cancer_vs_Healthy,0.537076129196169
Cancer_vs_Healthy,0.226354934396812
Cancer_vs_Healthy,0.501432669767424
Cancer_vs_Healthy,0.0398754462237933
Cancer_vs_Healthy,0.195999122552075
Cancer_vs_Healthy,0.141826335475815
Cancer_vs_Healthy,0.031575510421431
Cancer_vs_Healthy,0.750425307451549
Cancer_vs_Healthy,6.68644289967997e-5
Cancer_vs_Healthy,8.97611380095528e-5
Cancer_vs_Healthy,0.244952802520198
Cancer_vs_Healthy,0.408758857175206
Cancer_vs_Healthy,0.0346088355134277
Cancer_vs_Healthy,0.177040845441402
Cancer_vs_Healthy,0.225431556524785
Cancer_vs_Healthy,9.5422688945408e-4
Cancer_vs_Healthy,0.716161571604456
Cancer_vs_Healthy,0.0398658364849909
Cancer_vs_Healthy,1.4699292786314e-4
Cancer_vs_Healthy,0.375553721826238
Cancer_vs_Healthy,0.928360384090472
Cancer_vs_Healthy,7.70929467763752e-5
Cancer_vs_Healthy,0.00953636107276615
Cancer_vs_Healthy,0.0195105327156584
Cancer_vs_Healthy,0.0119047805221908
Cancer_vs_Healthy,0.00536212136402067
Cancer_vs_Healthy,7.05100976756386e-5
Cancer_vs_Healthy,0.155542248738096
Cancer_vs_Healthy,0.0231480169265472
Cancer_vs_Healthy,4.89658357998096e-5
Cancer_vs_Healthy,0.228199957648596
Cancer_vs_Healthy,0.0187858363902104
Cancer_vs_Healthy,0.0212746026365719
Cancer_vs_Healthy,0.95690071318108
Cancer_vs_Healthy,0.203188056079242
Cancer_vs_Healthy,0.698285386000904
Cancer_vs_Healthy,0.00630968904879823
Cancer_vs_Healthy,3.7775937330141e-4
Cancer_vs_Healthy,0.173196815159549
Cancer_vs_Healthy,0.0108955299261862
Cancer_vs_Healthy,0.0125439882852838
Cancer_vs_Healthy,1.13180431055766e-5
Cancer_vs_Healthy,0.19198515931243
Cancer_vs_Healthy,0.910497281739701
Cancer_vs_Healthy,0.0363578501784615
Cancer_vs_Healthy,0.907671587226404
Cancer_vs_Healthy,0.113182307450507
Cancer_vs_Healthy,0.560140762030684
Cancer_vs_Healthy,0.0877518089011176
Cancer_vs_Healthy,0.108190182564774
Cancer_vs_Healthy,0.912053669782165
Cancer_vs_Healthy,0.349880558923579
Cancer_vs_Healthy,0.663959172191316
Cancer_vs_Healthy,0.238693521075105
Cancer_vs_Healthy,0.0215407198237793
Cancer_vs_Healthy,0.110866085633549
Cancer_vs_Healthy,0.0140132643894509
Cancer_vs_Healthy,1.0583775482114e-4
Cancer_vs_Healthy,0.283667881876923
Cancer_vs_Healthy,0.0386067319609136
Cancer_vs_Healthy,0.32609656689097
Cancer_vs_Healthy,0.548901656660626
Cancer_vs_Healthy,0.0112187165224423
Cancer_vs_Healthy,0.637619966547361
Cancer_vs_Healthy,0.922420777329542
Cancer_vs_Healthy,0.751130783209763
Cancer_vs_Healthy,0.00152675524280065
Cancer_vs_Healthy,6.4462207803439e-4
Cancer_vs_Healthy,0.00290598085694991
Cancer_vs_Healthy,0.00987407908078667
Cancer_vs_Healthy,0.146584858034415
Cancer_vs_Healthy,0.735025102808134
Cancer_vs_Healthy,0.268123499973041
Cancer_vs_Healthy,0.183672082230614
Cancer_vs_Healthy,0.261971443029336
Cancer_vs_Healthy,6.1199013842647e-4
Cancer_vs_Healthy,0.536885967281783
Cancer_vs_Healthy,3.3108300537846e-4
Cancer_vs_Healthy,0.861782524628672
Cancer_vs_Healthy,0.0256415266250598
Cancer_vs_Healthy,0.0786065946330691
Cancer_vs_Healthy,0.519964103983947
Cancer_vs_Healthy,0.00505313991282562
Cancer_vs_Healthy,0.353127507736443
Cancer_vs_Healthy,0.0075003532838236
