contrast,gene,average_intensity,logFC,sig_pi,direction
Training_PLA,ETHE1,16.9218475250829,0.772472396729658,1,Up
Training_PLA,MLIP,16.5001815889156,-0.189682296371316,0,NS
Training_PLA,CTTN,16.6356865785734,-0.308341592752484,0,NS
Training_PLA,MYL9,16.6627319173842,0.869374036610349,0,NS
Training_PLA,COPZ1,16.7773061037716,-0.228523408848307,0,NS
Training_PLA,C9orf64,16.8762223558574,-0.301855335631085,0,NS
Training_PLA,RHOC,16.5490874503959,-0.145478328710613,0,NS
Training_PLA,EIF3D,16.7243106650278,-0.35218354620455,0,NS
Training_PLA,GALK1,16.8047028009453,-0.178601531748274,0,NS
Training_PLA,TSNAX,16.7054654074739,-0.652674566549639,-1,Down
Training_PLA,ILF3,16.607737578564,0.109523196182305,0,NS
Training_PLA,G3BP2,16.5890814624193,2.10464102094028,1,Up
Training_PLA,STAT3,16.6676868485398,-0.119695537346704,0,NS
Training_PLA,ACSS2,16.5811417311466,-0.20910352641766,0,NS
Training_PLA,LHPP,16.4584795444227,0.915646209498188,0,NS
Training_PLA,ARRB1,16.2782207978821,-0.648825809005427,0,NS
Training_PLA,ARL8A,16.7600331104951,0.329988197649527,0,NS
Training_PLA,CHCHD7,16.5070238955453,0.0771614389059216,0,NS
Training_PLA,TOM1L2,16.7182033603362,0.103183402732981,0,NS
Training_PLA,LAMB3,16.6536928712983,-0.122786664503025,0,NS
Training_PLA,LAMTOR1,16.4271456654983,-0.176809465252099,0,NS
Training_PLA,UROD,16.6452006400028,-0.150962578841632,0,NS
Training_PLA,MAP2K4,16.6997453134862,0.490864706404441,0,NS
Training_PLA,UQCC2,16.7193507174321,-0.0448041860831303,0,NS
Training_PLA,TECR,16.7099613136409,-0.343368664612946,0,NS
Training_PLA,RCSD1,16.7607802072918,-0.161366978006335,0,NS
Training_PLA,QKI,16.5169463394629,0.18548015108718,0,NS
Training_PLA,STIM1,16.5093287835826,-0.198192132821106,0,NS
Training_PLA,PDP1,16.7797031301441,0.529922737510834,0,NS
