Model,Contrast,Pearson_r,Spearman_rho,metric_cohort,n,metric,cohort
CRvH,Cancer_vs_Healthy,0.990892984591436,0.982377476038711,FDR_full,822,FDR < 0.05,full
CRvH,Cancer_vs_Healthy,0.990892984591436,0.982377476038711,FDR_reduced,729,FDR < 0.05,reduced
CRvH,Cancer_vs_Healthy,0.990892984591436,0.982377476038711,Pi_full,582,Π < 0.05,full
CRvH,Cancer_vs_Healthy,0.990892984591436,0.982377476038711,Pi_reduced,517,Π < 0.05,reduced
CRvH,Training_CR,0.920053455794958,0.89192041045207,FDR_full,3,FDR < 0.05,full
CRvH,Training_CR,0.920053455794958,0.89192041045207,FDR_reduced,3,FDR < 0.05,reduced
CRvH,Training_CR,0.920053455794958,0.89192041045207,Pi_full,44,Π < 0.05,full
CRvH,Training_CR,0.920053455794958,0.89192041045207,Pi_reduced,33,Π < 0.05,reduced
CR,Training_CRE,0.946067621757696,0.924750739704118,FDR_full,2,FDR < 0.05,full
CR,Training_CRE,0.946067621757696,0.924750739704118,FDR_reduced,0,FDR < 0.05,reduced
CR,Training_CRE,0.946067621757696,0.924750739704118,Pi_full,74,Π < 0.05,full
CR,Training_CRE,0.946067621757696,0.924750739704118,Pi_reduced,72,Π < 0.05,reduced
CR,Training_PLA,0.935825818728944,0.923672692470265,FDR_full,1,FDR < 0.05,full
CR,Training_PLA,0.935825818728944,0.923672692470265,FDR_reduced,2,FDR < 0.05,reduced
CR,Training_PLA,0.935825818728944,0.923672692470265,Pi_full,181,Π < 0.05,full
CR,Training_PLA,0.935825818728944,0.923672692470265,Pi_reduced,124,Π < 0.05,reduced
