pathway,pval,padj,foldEnrichment,overlap,size,overlapGenes,database,odds_ratio,quadrant,pathway_label,ID,p.adjust,GeneRatio,geneID
HALLMARK_COAGULATION,7.1469490372910305e-9,3.001718595662233e-7,22.26595744680851,7,47,,Hallmark,45.422222222222224,Concordant Up,Coagulation,HALLMARK_COAGULATION,3.001718595662233e-7,7/16,A2M/APOC2/C3/CFB/CFH/CFI/SERPING1
REACTOME_COMPLEMENT_CASCADE,8.49969192505676e-9,4.0373536644019605e-6,33.22222222222222,6,27,,Reactome,67.28571428571429,Concordant Up,Complement Cascade,REACTOME_COMPLEMENT_CASCADE,4.0373536644019605e-6,6/16,C3/CFB/CFH/CFI/IGHV3-7/SERPING1
GOBP_COMPLEMENT_ACTIVATION,3.9070045845247904e-9,6.591116734093321e-6,37.375,6,24,,GO:BP,78.6,Concordant Up,Complement Activation,GOBP_COMPLEMENT_ACTIVATION,6.591116734093321e-6,6/16,A2M/C3/CFB/CFH/CFI/SERPING1
GOBP_HUMORAL_IMMUNE_RESPONSE,2.5103337537751846e-7,2.1174665213093683e-4,19.5,6,46,,GO:BP,35.04,Concordant Up,Humoral Immune Response,GOBP_HUMORAL_IMMUNE_RESPONSE,2.1174665213093683e-4,6/16,A2M/C3/CFB/CFH/CFI/SERPING1
HALLMARK_COMPLEMENT,2.508445959852106e-5,5.267736515689423e-4,12.887931034482758,5,58,,Hallmark,19.92281303602058,Concordant Up,Complement,HALLMARK_COMPLEMENT,5.267736515689423e-4,5/16,C3/CFB/CFH/CP/SERPING1
HALLMARK_INTERFERON_GAMMA_RESPONSE,6.92377758951439e-5,9.693288625320145e-4,16.61111111111111,4,36,,Hallmark,24.416666666666668,Concordant Up,Interferon Gamma Response,HALLMARK_INTERFERON_GAMMA_RESPONSE,9.693288625320145e-4,4/16,CFB/CFH/PNP/SERPING1
GOBP_ACUTE_INFLAMMATORY_RESPONSE,3.0209090654294524e-6,0.0016987578644598288,35.1764705882353,4,17,,GO:BP,60.58974358974359,Concordant Up,Acute Inflammatory Response,GOBP_ACUTE_INFLAMMATORY_RESPONSE,0.0016987578644598288,4/16,C3/ITIH4/SERPINA3/SERPINF2
HALLMARK_KRAS_SIGNALING_UP,4.011233795515588e-4,0.004211795485291367,19.5,3,23,,Hallmark,27.184615384615384,Concordant Up,KRAS Signaling Up,HALLMARK_KRAS_SIGNALING_UP,0.004211795485291367,3/16,CFB/CFH/SERPINA3
HALLMARK_XENOBIOTIC_METABOLISM,7.073935439560247e-4,0.005942105769230608,9.200000000000001,4,65,,Hallmark,12.650273224043715,Concordant Up,Xenobiotic Metabolism,HALLMARK_XENOBIOTIC_METABOLISM,0.005942105769230608,4/16,APOE/CFB/FBLN1/ITIH4
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2,2.508445959852106e-5,0.005957559154648752,12.887931034482758,5,58,,Reactome,19.92281303602058,Concordant Up,Response To Elevated Platelet Cytosolic Ca2,REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2,0.005957559154648752,5/16,A2M/ITIH4/SERPINA3/SERPINF2/SERPING1
GOBP_B_CELL_MEDIATED_IMMUNITY,1.8298229211992475e-5,0.007717278170157826,23,4,26,,GO:BP,35.666666666666664,Concordant Up,B Cell Mediated Immunity,GOBP_B_CELL_MEDIATED_IMMUNITY,0.007717278170157826,4/16,C3/CFI/IGHV3-7/SERPING1
GOBP_PROTEIN_LIPID_COMPLEX_ORGANIZATION,3.925301181404694e-5,0.012561799074335118,40.772727272727266,3,11,,GO:BP,68.3076923076923,Concordant Up,Protein Lipid Complex Organization,GOBP_PROTEIN_LIPID_COMPLEX_ORGANIZATION,0.012561799074335118,3/16,AGT/APOC2/APOE
GOBP_ACUTE_PHASE_RESPONSE,5.212364761134904e-5,0.012561799074335118,37.375,3,12,,GO:BP,60.69230769230769,Concordant Up,Acute Phase Response,GOBP_ACUTE_PHASE_RESPONSE,0.012561799074335118,3/16,ITIH4/SERPINA3/SERPINF2
GOBP_REGULATION_OF_LIPID_METABOLIC_PROCESS,4.742107286299951e-5,0.012561799074335118,11.325757575757576,5,66,,GO:BP,17.250372578241432,Concordant Up,Regulation Of Lipid Metabolic Process,GOBP_REGULATION_OF_LIPID_METABOLIC_PROCESS,0.012561799074335118,5/16,AGT/APOC2/APOE/C3/SERPINA3
GOBP_NEGATIVE_REGULATION_OF_COAGULATION,6.748404841750753e-5,0.0142306987100419,34.5,3,13,,GO:BP,54.6,Concordant Up,Negative Regulation Of Coagulation,GOBP_NEGATIVE_REGULATION_OF_COAGULATION,0.0142306987100419,3/16,APOE/SERPINF2/SERPING1
GOBP_REGULATION_OF_LIPID_LOCALIZATION,7.731638073090747e-5,0.0144925260325601,16.16216216216216,4,37,,GO:BP,23.666666666666668,Concordant Up,Regulation Of Lipid Localization,GOBP_REGULATION_OF_LIPID_LOCALIZATION,0.0144925260325601,4/16,AGT/APOC2/APOE/C3
REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE,1.5784648139729958e-4,0.017920999747526457,26.38235294117647,3,17,,Reactome,38.934065934065934,Concordant Up,Plasma Lipoprotein Assembly Remodeling And Clearance,REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE,0.017920999747526457,3/16,A2M/APOC2/APOE
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_WOUNDING,1.5784648139729958e-4,0.020483616470557263,26.38235294117647,3,17,,GO:BP,38.934065934065934,Concordant Up,Negative Regulation Of Response To Wounding,GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_WOUNDING,0.020483616470557263,3/16,APOE/SERPINF2/SERPING1
GOBP_TRIGLYCERIDE_METABOLIC_PROCESS,1.8864210260554167e-4,0.021215948473036587,24.916666666666664,3,18,,GO:BP,36.323076923076925,Concordant Up,Triglyceride Metabolic Process,GOBP_TRIGLYCERIDE_METABOLIC_PROCESS,0.021215948473036587,3/16,APOC2/APOE/C3
GOBP_HEMOSTASIS,3.212539811994652e-4,0.027097773314174886,11.283018867924529,4,53,,GO:BP,15.829931972789115,Concordant Up,Hemostasis,GOBP_HEMOSTASIS,0.027097773314174886,4/16,APOE/FBLN1/SERPINF2/SERPING1
GOBP_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS,3.212539811994652e-4,0.027097773314174886,11.283018867924529,4,53,,GO:BP,15.829931972789115,Concordant Up,Regulation Of Immune Effector Process,GOBP_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS,0.027097773314174886,4/16,A2M/C3/CFH/SERPING1
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS,3.711380514584365e-4,0.029814756800494398,10.872727272727273,4,55,,GO:BP,15.196078431372548,Concordant Up,Negative Regulation Of Response To External Stimulus,GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS,0.029814756800494398,4/16,A2M/APOE/SERPINF2/SERPING1
GOSLIM_EXTRACELLULAR_MATRIX_ORGANIZATION,0.0022428364938057066,0.03390491194076813,10.939024390243903,3,41,,GO Slim,14.19838056680162,Concordant Up,Extracellular Matrix Organization,GOSLIM_EXTRACELLULAR_MATRIX_ORGANIZATION,0.03390491194076813,3/16,FBLN1/SERPINF2/AGT
GOSLIM_WOUND_HEALING,0.0025114749585754175,0.03390491194076813,6.571428571428571,4,91,,GO Slim,8.770114942528735,Concordant Up,Wound Healing,GOSLIM_WOUND_HEALING,0.03390491194076813,4/16,SERPING1/APOE/SERPINF2/FBLN1
GOBP_NEGATIVE_REGULATION_OF_MAPK_CASCADE,5.1669109018714e-4,0.03631907788107105,17.94,3,25,,GO:BP,24.692307692307693,Concordant Up,Negative Regulation Of Mapk Cascade,GOBP_NEGATIVE_REGULATION_OF_MAPK_CASCADE,0.03631907788107105,3/16,AGT/APOE/FBLN1
GOBP_REGULATION_OF_TUBE_SIZE,5.1669109018714e-4,0.03631907788107105,17.94,3,25,,GO:BP,24.692307692307693,Concordant Up,Regulation Of Tube Size,GOBP_REGULATION_OF_TUBE_SIZE,0.03631907788107105,3/16,AGT/APOE/SERPINF2
GOBP_REGULATION_OF_WOUND_HEALING,5.816988546621596e-4,0.03925303871260253,17.25,3,26,,GO:BP,23.608695652173914,Concordant Up,Regulation Of Wound Healing,GOBP_REGULATION_OF_WOUND_HEALING,0.03925303871260253,3/16,APOE/SERPINF2/SERPING1
GOBP_POSITIVE_REGULATION_OF_LIPID_METABOLIC_PROCESS,8.075288347072796e-4,0.0486536122911136,15.46551724137931,3,29,,GO:BP,20.857988165680474,Concordant Up,Positive Regulation Of Lipid Metabolic Process,GOBP_POSITIVE_REGULATION_OF_LIPID_METABOLIC_PROCESS,0.0486536122911136,3/16,AGT/APOC2/APOE
GOBP_LEUKOCYTE_MEDIATED_IMMUNITY,8.405653902626829e-4,0.04889771770252228,8.794117647058824,4,68,,GO:BP,12.041666666666666,Concordant Up,Leukocyte Mediated Immunity,GOBP_LEUKOCYTE_MEDIATED_IMMUNITY,0.04889771770252228,4/16,C3/CFI/IGHV3-7/SERPING1
