contrast,database,n_sig,n_up,n_down,median_NES,mean_NES,sd_NES,min_padj,median_padj
Cancer_vs_Healthy,GO Slim,12,8,4,1.76556829300658,0.6956114914202395,2.005456926100786,3.848255405250891e-11,5.898554558506411e-5
Cancer_vs_Healthy,GO:BP,284,228,56,1.8610471693468251,1.1566420879988606,1.623882624556796,1.877257691860056e-11,0.006055530593364634
Cancer_vs_Healthy,Hallmark,13,12,1,1.9147206994316968,1.6840757912539308,1.4197400105152393,1.2097934980751055e-17,6.552500726280618e-5
Cancer_vs_Healthy,KEGG,28,19,9,1.662263748978991,0.4254609402051278,1.978452845153047,4.864610537525975e-8,0.03203342618384401
Cancer_vs_Healthy,Reactome,122,86,36,1.8025407883209177,0.7798005540341754,1.845076505811954,7.034247015716597e-21,0.01391764479444706
Training_CR,GO Slim,4,3,1,1.6824105648393148,0.807530156077585,1.906872421234874,1.8201523948305936e-6,3.0390009611795606e-4
Training_CR,GO:BP,21,15,6,2.035075300294796,0.9273682848497742,1.872624172236894,1.9064939689273567e-6,7.919190001847724e-4
Training_CR,Hallmark,4,3,1,1.5733110723584547,0.914400618361466,1.7772686737341918,8.4941013876221e-9,0.022916114636340135
Training_CR,KEGG,9,9,0,2.125980961429765,2.021350830740186,0.1879919189653253,3.7844428149609406e-5,1.7751353409306558e-4
Training_CR,Reactome,6,6,0,2.1645772470727094,2.0791834603630166,0.24215282908980923,1.4284495362623151e-9,0.0010455261220237253
